COMPANY_NAME,TICKER,SECTOR,CAP_SIZE,SECTOR_PE,BETA,DIVIDEND_YIELD
Maruti Suzuki India Limited,MARUTI,Automobile,L,48.8,0.93,0.58
Tata Motors Limited,TATAMOTORS,Automobile,L,48.8,1.77,0
Mahindra & Mahindra Limited,M&M,Automobile,L,48.8,1.05,1.05
Ashok Leyland Limited,ASHOKLEY,Automobile,M,48.8,1.38,0.49
TVS Electronics Limited,TVSELECT,Automobile,M,48.8,0.89,0.55
Escorts Limited,ESCORTS,Automobile,M,48.8,0.4,0.4
Jamna Auto Industried Limited,JAMNAAUTO,Automobile,S,48.8,1.02,0.72
Olectra Greentech Limited,OLECTRA,Automobile,S,48.8,0.84,0
JBM Auto Limited,JBMA,Automobile,S,48.8,0.81,0.12
Sharda Motor Industries Limited,SHARDAMOTR,Automobile,S,48.8,0.81,0.33
State Bank of India,SBIN,Banking,L,27.59,1.29,0.79
HDFC Bank,HDFCBANK,Banking,L,27.59,1.14,0.4
ICICI Bank Limited,ICICIBANK,Banking,L,27.59,1.23,0.27
Bandhan Bank,BANDHANBNK,Banking,M,27.59,1.26,0.32
Canara Bank,CANBK,Banking,M,27.59,1.49,0
Punjab National Bank,PNB,Banking,M,27.59,1.33,0
RBL Bank,RBLBANK,Banking,S,27.59,1.75,0
CSB Bank,CSBBANK,Banking,S,27.59,0.99,0
DCB Bank,DCBBANK,Banking,S,27.59,1.01,0
Central Bank,CENTRALBK,Banking,S,27.59,0.95,0
Asian Paints Limited,ASIANPAINT,Chemical,L,65.18,0.74,0.57
Pidilite,PIDILITIND,Chemical,L,65.18,0.74,0.34
Berger Paints,BERGEPAINT,Chemical,L,65.18,0.81,0.39
Tata Chemical,TATACHEM,Chemical,M,65.18,1.32,1
UPL,UPL,Chemical,M,65.18,0.89,1.26
Deepak Nitrite Limited,DEEPAKNTR,Chemical,M,65.18,1.38,0.24
Vinati Organics Limited,VINATIORGA,Chemical,S,65.18,0.47,0.3
Laxmi Organic,LXCHEM,Chemical,S,65.18,1.45,0.11
Bharat Rasayan,BHARATRAS,Chemical,S,65.18,0.89,0.01
GHCL,GHCL,Chemical,S,65.18,1.31,0.98
HDFC Limited,HDFC,Finance,L,42.083,1.3,0.88
Bajaj Finance,BAJFINANCE,Finance,L,42.083,1.47,0.14
Bajaj Finserv,BAJAJFINSV,Finance,L,42.083,1.34,0.02
Muthoot Finance,MUTHOOTFIN,Finance,M,42.083,0.9,1.46
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,Finance,M,42.083,1.34,0.28
Shriram Transport Finance Company Limited,SRTRANSFIN,Finance,M,42.083,1.54,1.51
Aavas Financiers Limited,AAVAS,Finance,S,42.083,0.79,0
LIC Housing,LICHSGFIN,Finance,S,42.083,1.46,2.21
Motilal Oswal,MOTILALOFS,Finance,S,42.083,0.91,1.1
IDFC Limited,IDFC,Finance,S,42.083,1.56,0
Tata Consultancy Services(TCS),TCS,IT,L,53.26,0.68,1
Infosys,INFY,IT,L,53.26,0.72,1.45
HCL Tech,HCLTECH,IT,L,53.26,0.78,0.84
Tata Elxsi,TATAELXSI,IT,M,53.26,0.83,0.54
Persistent Systems Limited,PERSISTENT,IT,M,53.26,0.92,0.41
Oracle Finance,OFSS,IT,M,53.26,0.92,5.44
Firstsource Solutions Limited,FSL,IT,S,53.26,1.12,2.26
NIIT Limited,NIITLTD,IT,S,53.26,1.36,0.4
Sonata Software,SONATSOFTW,IT,S,53.26,0.74,1.81
Birla Soft,BSOFT,IT,S,53.26,1.2,0.71
