Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 638.53 , 796.87 , 819.94 , 759.75 ," 1,014.13 ", 886.86 , 591.53 , 262.89 , 240.54 , 155.93 , 74.59 , 101.08 , 129.17 
Expenses, 372.63 , 464.24 , 436.22 , 378.47 , 371.42 , 319.14 , 309.31 , 199.02 ," 4,872.08 ", 334.03 , 301.92 , 91.29 , 129.17 
Operating Profit, 265.90 , 332.63 , 383.72 , 381.28 , 642.71 , 567.72 , 282.22 , 63.87 ," -4,631.54 ", -178.10 , -227.33 , 9.79 , -   
Other Income, 75.89 , 31.72 , 44.37 , 58.48 , 68.37 , 52.93 , 60.13 , 155.89 , 9.30 , 66.37 , 73.45 , -   , -   
Depreciation, 98.61 , 49.13 , 41.79 , 80.58 , 149.68 , 153.79 , 161.17 , 154.26 , 160.72 , 60.79 , 45.56 , 45.56 , 45.56 
Interest, 366.25 , 329.63 , 178.47 , 93.02 , 121.17 , 119.62 , 113.31 , 108.61 , 95.85 , 81.51 , 74.97 , 74.97 , 74.97 
Profit before tax, -123.07 , -14.41 , 207.83 , 266.16 , 440.23 , 347.24 , 67.87 , -43.11 ," -4,878.81 ", -254.03 , -274.41 , -110.74 , -120.53 
Tax, -2.34 , -1.78 , 27.40 , 75.54 , 150.09 , 136.09 , 59.30 , 26.21 , -421.42 , -22.73 , -21.53 ,0%,0%
Net profit, -120.73 , -12.63 , 180.43 , 190.62 , 290.15 , 211.14 , 8.57 , -69.32 ," -4,457.39 ", -231.30 , -252.89 , -110.74 , -120.53 
EPS, -27.75 , -2.90 , 41.48 , 32.98 , 49.68 , 36.15 , 1.47 , -11.87 , -763.25 , -39.61 , -43.33 , -18.97 , -20.65 
Price to earning, -15.60 , -90.86 , 12.82 , 12.93 , 3.55 , 6.23 , 107.94 , -4.83 , -0.02 , -0.74 , -   , -   , -   
Price, 432.95 , 263.80 , 531.85 , 426.40 , 176.45 , 225.15 , 158.40 , 57.35 , 14.00 , 29.45 , 49.60 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,8.68%,10.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,41.64%,41.74%,46.80%,50.18%,63.38%,64.01%,47.71%,24.30%,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-14.50%,-21.11%,-31.24%,-35.88%,-35.18%,-35.18%,-35.88%
,,,,,,OPM,47.35%,49.54%,42.75%,9.69%,0.00%,9.69%,0.00%
,,,,,,Price to Earning, 28.69 , 32.66 , 57.08 ,  , -   , -   , -   
