Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,893.62 "," 6,245.66 "," 10,725.00 "," 10,487.15 "," 12,729.84 "," 10,868.11 "," 8,120.87 "," 2,404.20 "," 1,005.32 ", 447.17 , 483.61 , 483.61 , 147.55 
Expenses," 2,801.11 "," 5,493.83 "," 7,147.06 "," 8,024.89 "," 9,189.43 "," 9,603.68 "," 7,233.01 "," 2,416.96 "," 1,043.73 ", 408.07 , 441.18 , 441.18 , 146.05 
Operating Profit," 1,092.51 ", 751.83 ," 3,577.94 "," 2,462.26 "," 3,540.41 "," 1,264.43 ", 887.86 , -12.76 , -38.41 , 39.10 , 42.43 , 42.43 , 1.50 
Other Income, 243.00 , 411.99 , 483.11 , 848.10 , 508.64 ," -3,179.72 "," 1,957.11 "," 1,064.63 ", -92.15 , 134.37 , 163.86 , -   , -   
Depreciation, 551.45 ," 1,012.12 "," 1,187.83 ", 881.37 ," 1,137.26 "," 1,120.72 ", 860.67 , 38.06 , 34.77 , 32.46 , 30.58 , 30.58 , 30.58 
Interest, 787.68 ," 1,645.41 "," 3,338.59 "," 2,497.62 "," 2,951.19 "," 3,101.56 "," 2,008.07 "," 1,239.04 "," 1,175.23 ", 644.02 , 677.23 , 677.23 , 677.23 
Profit before tax, -3.62 ," -1,493.71 ", -465.37 , -68.63 , -39.40 ," -6,137.57 ", -23.77 , -225.23 ," -1,340.56 ", -503.01 , -501.52 , -665.38 , -706.31 
Tax, 290.30 , 458.32 ," -1,060.63 ", -   , -135.94 , -83.23 , -   , -   , -   , -4.27 , -   ,0%,0%
Net profit, -293.92 ," -1,952.03 ", 595.26 , -68.63 , 96.54 ," -6,054.34 ", -23.77 , -225.23 ," -1,340.56 ", -498.74 , -501.52 , -665.38 , -706.31 
EPS, -1.35 , -8.16 , 2.07 , -0.24 , 0.29 , -15.70 , -0.06 , -0.58 , -3.48 , -1.29 , -1.30 , -1.72 , -1.83 
Price to earning, -50.81 , -4.98 , 23.45 , -197.93 , 118.97 , -2.54 , -384.55 , -82.54 , -7.98 , -65.77 , -   , -   , -   
Price, 68.50 , 40.65 , 48.60 , 47.30 , 34.45 , 39.90 , 23.70 , 48.20 , 27.75 , 85.05 , 233.10 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,28.06%,12.04%,33.36%,23.48%,27.81%,11.63%,10.93%,0.00%,0.00%,8.74%,8.77%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-21.37%,-36.49%,-48.82%,-61.96%,8.15%,8.15%,-61.96%
,,,,,,OPM,20.35%,17.79%,9.59%,1.01%,8.77%,8.77%,1.01%
,,,,,,Price to Earning, 71.21 , 118.97 ,  ,  , -   , -   , -   
