Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 112.48 , 129.69 , 141.81 , 149.45 , 160.52 , 165.36 , 163.67 , 187.50 , 194.47 , 236.64 , 290.15 , 290.15 , 258.66 
Expenses, 92.80 , 114.71 , 119.30 , 128.77 , 132.90 , 143.58 , 145.85 , 151.82 , 155.94 , 184.65 , 233.57 , 230.96 , 215.92 
Operating Profit, 19.68 , 14.98 , 22.51 , 20.68 , 27.62 , 21.78 , 17.82 , 35.68 , 38.53 , 51.99 , 56.58 , 59.19 , 42.74 
Other Income, 3.44 , 10.53 , 3.95 , 8.35 , 3.63 , 5.59 , 18.47 , 13.50 , 8.85 , 4.25 , 6.99 , -   , -   
Depreciation, 4.67 , 4.15 , 7.33 , 7.32 , 7.89 , 4.35 , 4.36 , 4.31 , 5.52 , 5.89 , 5.72 , 5.72 , 5.72 
Interest, 1.24 , 1.63 , 1.14 , 0.95 , 1.14 , 0.95 , 1.13 , 0.87 , 1.33 , 1.16 , 0.70 , 0.70 , 0.70 
Profit before tax, 17.21 , 19.73 , 17.99 , 20.76 , 22.22 , 22.07 , 30.80 , 44.00 , 40.53 , 49.19 , 57.15 , 52.77 , 36.32 
Tax, 5.58 , 4.15 , 5.54 , 6.16 , 8.12 , 7.72 , 8.58 , 13.52 , 9.07 , 12.51 , 14.51 ,25%,25%
Net profit, 11.63 , 15.59 , 12.45 , 14.60 , 14.10 , 14.36 , 22.22 , 30.48 , 31.47 , 36.69 , 42.66 , 39.37 , 27.10 
EPS, 5.76 , 7.09 , 5.66 , 6.64 , 6.41 , 6.77 , 10.48 , 15.24 , 15.74 , 18.35 , 20.40 , 18.83 , 12.96 
Price to earning, 8.71 , 6.32 , 7.93 , 8.88 , 13.11 , 25.59 , 19.33 , 15.73 , 10.80 , 48.71 , 37.73 , 37.73 , 18.44 
Price, 50.15 , 44.80 , 44.85 , 58.95 , 84.00 , 173.35 , 202.60 , 239.65 , 170.00 , 893.55 , 769.70 , 710.41 , 238.96 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,26.57%,21.55%,26.99%,23.01%,0.00%,37.60%,0.00%,0.00%,19.45%,16.68%,,,
OPM,17.50%,11.55%,15.87%,13.84%,17.21%,13.17%,10.89%,19.03%,19.81%,21.97%,19.50%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.62%,7.59%,8.07%,13.08%,22.61%,22.61%,7.59%
,,,,,,OPM,16.52%,17.02%,17.50%,20.40%,19.50%,20.40%,16.52%
,,,,,,Price to Earning, 18.44 , 22.49 , 26.32 , 28.24 , 37.73 , 37.73 , 18.44 
