Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 120.78 , 179.22 , 153.61 , 143.94 , 134.08 , 147.16 , 125.30 , 123.81 , 73.69 , 72.30 , 86.88 , 86.88 , 57.75 
Expenses, 122.22 , 163.55 , 126.04 , 134.40 , 127.95 , 140.44 , 114.19 , 105.72 , 69.97 , 61.57 , 73.12 , 73.12 , 53.10 
Operating Profit, -1.44 , 15.67 , 27.57 , 9.54 , 6.13 , 6.72 , 11.11 , 18.09 , 3.72 , 10.73 , 13.76 , 13.76 , 4.65 
Other Income, 3.96 , 10.32 , 17.82 , 20.79 , 25.46 , 25.16 , 37.01 , 29.45 , 93.47 , 9.97 , 86.72 , -   , -   
Depreciation, 10.93 , 9.84 , 7.90 , 6.04 , 6.14 , 5.09 , 3.78 , 2.63 , 3.23 , 3.91 , 4.19 , 4.19 , 4.19 
Interest, 5.21 , 5.14 , 4.02 , 0.83 , 0.12 , 0.16 , 0.17 , 0.22 , 0.28 , 0.27 , 0.26 , 0.26 , 0.26 
Profit before tax, -13.62 , 11.01 , 33.47 , 23.46 , 25.33 , 26.63 , 44.17 , 44.69 , 93.68 , 16.52 , 96.03 , 9.31 , 0.20 
Tax, -1.42 , -0.48 , 3.93 , -0.69 , 0.61 , -0.85 , 2.39 , 3.59 , 0.13 , 3.15 , 11.30 ,12%,12%
Net profit, -12.20 , 11.49 , 29.53 , 24.15 , 24.72 , 27.49 , 41.78 , 41.11 , 93.55 , 13.36 , 84.73 , 8.21 , 0.18 
EPS, -0.46 , 0.43 , 1.11 , 0.90 , 0.93 , 1.03 , 1.56 , 1.60 , 3.64 , 0.52 , 3.30 , 0.32 , 0.01 
Price to earning, -14.29 , 14.69 , 13.04 , 30.90 , 30.80 , 28.76 , 27.52 , 21.19 , 9.70 , 197.89 , 24.05 , 63.21 , 24.05 
Price, 6.53 , 6.32 , 14.42 , 27.95 , 28.52 , 29.61 , 43.06 , 33.93 , 35.35 , 102.95 , 79.30 , 20.21 , 0.16 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,23.24%,13.58%,16.60%,16.22%,19.43%,12.78%,12.50%,16.47%,38.47%,,,
OPM,0.00%,8.74%,17.95%,6.63%,4.57%,4.57%,8.87%,14.61%,5.05%,14.84%,15.84%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-5.54%,-10.21%,-11.62%,-16.75%,20.17%,20.17%,-16.75%
,,,,,,OPM,8.58%,8.05%,9.29%,12.06%,15.84%,15.84%,8.05%
,,,,,,Price to Earning, 39.85 , 46.35 , 51.52 , 63.21 , 24.05 , 63.21 , 24.05 
