Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 1,077.54 "," 1,608.61 "," 2,006.91 "," 2,067.03 "," 2,949.43 "," 3,106.34 "," 4,335.80 "," 5,868.47 "," 5,930.81 "," 6,007.96 "," 7,906.69 "," 7,906.69 "," 6,916.10 "
Expenses," 1,005.90 "," 1,514.82 "," 1,913.55 "," 1,973.28 "," 2,836.01 "," 2,884.50 "," 4,100.88 "," 5,581.13 "," 5,693.01 "," 5,723.99 "," 7,527.07 "," 7,527.07 "," 6,601.85 "
Operating Profit, 71.64 , 93.79 , 93.36 , 93.75 , 113.42 , 221.84 , 234.92 , 287.34 , 237.80 , 283.97 , 379.62 , 379.62 , 314.25 
Other Income, 0.16 , 0.66 , 2.02 , 12.65 , -4.26 , 4.14 , 35.45 , 42.49 , 27.04 , 44.11 , 37.45 , -   , -   
Depreciation, 5.55 , 7.88 , 9.87 , 12.01 , 18.67 , 39.77 , 43.98 , 53.13 , 68.91 , 68.18 , 71.26 , 71.26 , 71.26 
Interest, 23.23 , 32.01 , 46.22 , 50.16 , 48.73 , 62.78 , 70.44 , 101.35 , 82.14 , 54.89 , 40.21 , 40.21 , 40.21 
Profit before tax, 43.02 , 54.56 , 39.29 , 44.23 , 41.76 , 123.43 , 155.95 , 175.35 , 113.79 , 205.01 , 305.60 , 268.15 , 202.78 
Tax, 14.27 , 19.91 , 13.10 , 12.78 , 10.93 , 35.11 , 43.26 , 48.96 , -1.22 , 51.23 , 75.42 ,25%,25%
Net profit, 28.75 , 34.66 , 26.19 , 31.45 , 30.83 , 88.32 , 112.69 , 126.39 , 115.01 , 153.78 , 230.18 , 201.97 , 152.73 
EPS, 1.35 , 1.55 , 1.12 , 1.34 , 1.31 , 3.74 , 4.74 , 5.30 , 4.63 , 6.16 , 9.21 , 8.08 , 6.11 
Price to earning, 13.41 , 10.79 , 17.52 , 29.85 , 51.05 , 31.38 , 41.87 , 27.21 , 26.94 , 113.78 , 107.94 , 107.94 , 42.89 
Price, 18.10 , 16.77 , 19.57 , 40.04 , 67.11 , 117.45 , 198.68 , 144.19 , 124.67 , 700.43 , 993.95 , 872.15 , 262.03 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,14.82%,32.20%,44.75%,44.71%,76.03%,32.05%,29.48%,26.42%,0.00%,0.00%,,,
OPM,6.65%,5.83%,4.65%,4.54%,3.85%,7.14%,5.42%,4.90%,4.01%,4.73%,4.80%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,21.04%,16.96%,15.29%,11.49%,31.60%,31.60%,11.49%
,,,,,,OPM,4.95%,4.87%,5.01%,4.54%,4.80%,4.80%,4.54%
,,,,,,Price to Earning, 42.89 , 53.75 , 58.19 , 68.97 , 107.94 , 107.94 , 42.89 
