Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,494.12 "," 3,780.29 "," 4,775.48 "," 5,224.69 "," 5,356.88 "," 5,966.63 "," 6,332.13 "," 6,435.96 "," 6,705.31 "," 4,528.54 "," 6,951.97 "," 6,951.97 "," 3,793.52 "
Expenses," 2,991.31 "," 3,193.58 "," 3,979.94 "," 4,379.62 "," 4,548.52 "," 5,234.25 "," 5,693.61 "," 5,802.90 "," 5,997.22 "," 4,051.45 "," 6,199.28 "," 6,199.28 "," 3,403.16 "
Operating Profit, 502.81 , 586.71 , 795.54 , 845.07 , 808.36 , 732.38 , 638.52 , 633.06 , 708.09 , 477.09 , 752.69 , 752.69 , 390.36 
Other Income, 386.04 , 93.44 , 67.00 , 96.32 , 102.57 , -177.07 , 51.74 , 33.00 , 21.34 , 37.69 , -20.60 , -   , -   
Depreciation, 130.51 , 150.49 , 157.51 , 125.83 , 149.16 , 182.10 , 201.47 , 209.75 , 240.54 , 236.43 , 217.52 , 217.52 , 217.52 
Interest, 270.25 , 268.44 , 296.44 , 337.94 , 310.31 , 238.57 , 189.41 , 227.34 , 238.78 , 222.31 , 176.61 , 176.61 , 176.61 
Profit before tax, 488.09 , 261.22 , 408.59 , 477.62 , 451.46 , 134.64 , 299.38 , 228.97 , 250.11 , 56.04 , 337.96 , 358.56 , -3.77 
Tax, 53.86 , -   , 47.20 , 100.19 , 130.82 , 116.08 , 49.34 , 29.53 , 78.73 , -36.63 , 129.60 ,38%,38%
Net profit, 434.23 , 261.22 , 361.39 , 377.43 , 320.64 , 18.56 , 250.04 , 199.44 , 171.38 , 92.67 , 208.36 , 221.06 , -2.33 
EPS, 17.06 , 10.12 , 14.00 , 14.62 , 12.42 , 0.72 , 9.67 , 7.71 , 6.62 , 3.58 , 8.00 , 8.49 , -0.09 
Price to earning, 1.64 , 2.60 , 4.23 , 6.09 , 7.44 , 185.84 , 13.39 , 11.79 , 2.97 , 18.40 , 16.12 , 16.12 , 12.32 
Price, 28.03 , 26.31 , 59.17 , 89.03 , 92.38 , 133.48 , 129.42 , 90.95 , 19.65 , 65.85 , 129.00 , 136.86 , -1.10 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,5.86%,16.30%,16.79%,17.45%,19.33%,334.11%,24.82%,25.93%,0.00%,0.00%,,,
OPM,14.39%,15.52%,16.66%,16.17%,15.09%,12.27%,10.08%,9.84%,10.56%,10.54%,10.83%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.92%,-0.76%,-3.30%,-10.57%,53.51%,53.51%,-10.57%
,,,,,,OPM,12.79%,11.94%,10.64%,10.29%,10.83%,10.83%,10.29%
,,,,,,Price to Earning, 24.59 , 32.75 , 41.42 , 12.32 , 16.12 , 16.12 , 12.32 
