Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 135.77 , 141.76 , 154.23 , 209.49 , 249.41 , 162.71 , 252.06 , 448.39 , 815.06 , 391.98 , 844.70 , 844.70 , 471.92 
Expenses, 34.92 , 44.81 , 49.09 , 51.02 , 55.26 , 59.54 , 83.69 , 121.02 , 129.98 , 142.18 , 169.27 , 169.27 , 122.97 
Operating Profit, 100.85 , 96.95 , 105.14 , 158.47 , 194.15 , 103.17 , 168.37 , 327.37 , 685.08 , 249.80 , 675.43 , 675.43 , 348.95 
Other Income, 8.41 , -16.51 , 3.07 , 2.17 , 2.04 , 2.29 , 0.20 , 0.17 , -0.30 , -0.02 , 102.94 , -   , -   
Depreciation, 1.56 , 1.28 , 1.30 , 2.54 , 1.38 , 1.46 , 1.36 , 1.55 , 2.90 , 4.68 , 4.76 , 4.76 , 4.76 
Interest, -   , -   , 1.40 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Profit before tax, 107.70 , 79.16 , 105.51 , 158.10 , 194.81 , 104.00 , 167.21 , 325.99 , 681.88 , 245.10 , 773.61 , 670.67 , 344.19 
Tax, 31.13 , 28.32 , 22.00 , 32.17 , 31.68 , 33.98 , 25.59 , 18.82 , 15.02 , 66.32 , 197.55 ,26%,26%
Net profit, 76.57 , 50.84 , 83.51 , 125.93 , 163.13 , 70.02 , 141.62 , 307.17 , 666.86 , 178.78 , 576.06 , 499.41 , 256.30 
EPS, 4.81 , 3.20 , 5.25 , 7.92 , 10.25 , 4.40 , 8.90 , 19.31 , 41.91 , 11.24 , 36.18 , 31.36 , 16.10 
Price to earning, 124.91 , 241.45 , 150.14 , 178.71 , 166.88 , 931.24 , 580.99 , 364.49 , 109.54 , 860.43 , 464.89 , 464.89 , 379.42 
Price, 600.78 , 771.55 , 788.05 ," 1,414.55 "," 1,711.10 "," 4,098.40 "," 5,171.55 "," 7,037.05 "," 4,591.20 "," 9,668.60 "," 16,818.85 "," 14,580.86 "," 6,107.32 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,28.34%,46.95%,33.35%,22.12%,17.07%,39.77%,19.67%,12.95%,11.93%,26.70%,,,
OPM,74.28%,68.39%,68.17%,75.65%,77.84%,63.41%,66.80%,73.01%,84.05%,63.73%,79.96%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.50%,14.25%,9.46%,15.86%,115.50%,115.50%,9.46%
,,,,,,OPM,73.94%,74.59%,74.09%,76.25%,79.96%,79.96%,73.94%
,,,,,,Price to Earning, 379.42 , 457.15 , 551.93 , 449.84 , 464.89 , 464.89 , 379.42 
