Narration,Dec-99,Dec-99,Dec-99,Dec-99,Dec-99,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, -   , -   , -   , -   , -   ," 3,908.71 "," 4,802.30 "," 6,643.37 "," 10,885.49 "," 12,524.21 "," 13,000.22 "," 17,239.21 "," 14,481.29 "
Expenses, -   , -   , -   , -   , -   ," 1,043.59 "," 1,596.60 "," 2,467.25 "," 3,739.44 "," 6,620.69 "," 12,810.89 "," 7,358.11 "," 14,270.39 "
Operating Profit, -   , -   , -   , -   , -   ," 2,865.12 "," 3,205.70 "," 4,176.12 "," 7,146.05 "," 5,903.52 ", 189.33 ," 9,881.10 ", 210.90 
Other Income, -   , -   , -   , -   , -   , 411.41 , 706.18 ," 1,063.05 "," 1,549.20 "," 2,109.06 "," 2,626.82 ", -   , -   
Depreciation, -   , -   , -   , -   , -   , 66.85 , 85.92 , 78.17 , 80.26 , 103.06 , -   , -   , -   
Interest, -   , -   , -   , -   , -   ," 1,505.21 "," 1,770.06 "," 2,147.95 "," 4,561.58 "," 4,960.86 "," 5,069.02 "," 5,069.02 "," 5,069.02 "
Profit before tax, -   , -   , -   , -   , -   ," 1,704.47 "," 2,055.90 "," 3,013.05 "," 4,053.41 "," 2,948.66 "," -2,252.87 "," 4,812.08 "," -4,858.12 "
Tax, -   , -   , -   , -   , -   , 592.52 , 710.34 ," 1,061.55 "," 1,029.68 ", 743.20 , -579.35 ,0%,0%
Net profit, -   , -   , -   , -   , -   ," 1,111.95 "," 1,345.56 "," 1,951.50 "," 3,023.74 "," 2,205.46 "," -1,673.52 "," 4,812.08 "," -4,858.12 "
EPS, -   , -   , -   , -   , -   , 10.15 , 11.28 , 16.36 , 18.78 , 13.69 , -10.38 , 29.86 , -30.15 
Price to earning,  ,  ,  ,  ,  ,  , 41.58 , 32.17 , 10.85 , 24.75 , -   , 22.59 , -   
Price, -   , -   , -   , -   , -   , -   , 469.05 , 526.25 , 203.75 , 338.90 , 315.35 , 674.58 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.86%,18.34%,0.00%,7.30%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,73.30%,66.75%,62.86%,65.65%,47.14%,1.46%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,37.65%,15.05%,37.65%,15.05%
,,,,,,OPM,60.10%,60.10%,60.10%,57.32%,1.46%,57.32%,1.46%
,,,,,,Price to Earning, 27.34 , 27.34 , 27.34 , 22.59 , -   , 22.59 , -   
