Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 5,767.64 "," 6,103.54 "," 6,275.52 "," 6,842.65 "," 7,327.86 "," 8,599.93 "," 10,322.33 "," 12,084.60 "," 12,921.11 "," 14,063.83 "," 15,897.20 ",#VALUE!,#VALUE!
Expenses," 5,153.15 "," 5,455.75 "," 5,381.86 "," 5,694.76 "," 5,952.60 "," 6,833.89 "," 8,319.19 "," 9,219.44 "," 10,187.02 "," 10,879.57 "," 12,185.20 ",#VALUE!,#VALUE!
Operating Profit, 614.49 , 647.79 , 893.66 ," 1,147.89 "," 1,375.26 "," 1,766.04 "," 2,003.14 "," 2,865.16 "," 2,734.09 "," 3,184.26 "," 3,712.00 ",#VALUE!,#VALUE!
Other Income, 585.49 , 603.89 , 429.13 , 478.70 , 537.08 , 471.01 , 200.38 , 169.54 , 101.94 , 126.10 , 226.99 , -   , -   
Depreciation, 120.80 , 130.71 , 142.10 , 153.96 , 172.21 , 191.52 , 251.00 , 316.22 , 349.64 , 366.33 , 370.87 , 370.87 , 370.87 
Interest, 4.33 , 6.38 , 5.95 , 5.94 , 8.01 , 16.11 , 4.68 , 15.29 , 7.22 , 9.22 , 6.35 , 6.35 , 6.35 
Profit before tax," 1,074.85 "," 1,114.59 "," 1,174.74 "," 1,466.69 "," 1,732.12 "," 2,029.42 "," 1,947.84 "," 2,703.19 "," 2,479.17 "," 2,934.81 "," 3,561.77 ",#VALUE!,#VALUE!
Tax, 244.95 , 224.76 , 243.12 , 299.45 , 424.76 , 481.80 , 548.55 , 775.90 , 685.34 , 869.39 ," 1,002.27 ",28%,28%
Net profit, 829.90 , 889.83 , 931.62 ," 1,167.24 "," 1,307.36 "," 1,547.62 "," 1,399.29 "," 1,927.29 "," 1,793.83 "," 2,065.42 "," 2,559.50 ",#VALUE!,#VALUE!
EPS, 3.14 , 3.37 , 3.53 , 4.42 , 4.95 , 6.30 , 5.74 , 7.91 , 7.36 , 8.48 , 10.50 ,#VALUE!,#VALUE!
Price to earning, 14.70 , 10.39 , 9.86 , 22.96 , 22.48 , 22.62 , 24.63 , 11.79 , 10.11 , 14.76 , 20.82 ,#REF!,#REF!
Price, 46.21 , 35.01 , 34.79 , 101.53 , 111.30 , 142.50 , 141.45 , 93.25 , 74.45 , 125.10 , 218.60 ,#VALUE!,#VALUE!
