Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 2,726.50 "," 2,808.91 "," 2,911.51 "," 2,809.19 "," 2,980.61 "," 2,498.81 "," 3,245.55 "," 3,481.06 "," 3,028.82 "," 3,557.21 "," 4,358.32 ",#VALUE!,#VALUE!
Expenses," 2,609.98 "," 2,834.85 "," 2,782.20 "," 2,734.88 "," 2,832.80 "," 2,346.53 "," 2,994.21 "," 3,244.23 "," 2,941.51 "," 3,414.72 "," 4,158.74 ",#VALUE!,#VALUE!
Operating Profit, 116.52 , -25.94 , 129.31 , 74.31 , 147.81 , 152.28 , 251.34 , 236.83 , 87.31 , 142.49 , 199.58 ,#VALUE!,#VALUE!
Other Income, 104.46 , 115.42 , 59.92 , 60.45 , 41.97 , 62.38 , 24.78 , 23.10 , 48.55 , 60.13 , 106.40 , -   , -   
Depreciation, 43.92 , 50.25 , 53.56 , 52.14 , 55.77 , 61.98 , 64.24 , 69.58 , 71.30 , 70.68 , 68.57 , 68.57 , 68.57 
Interest, 110.60 , 161.57 , 126.59 , 75.71 , 56.09 , 54.39 , 48.09 , 59.39 , 40.50 , 39.12 , 59.37 , 59.37 , 59.37 
Profit before tax, 66.46 , -122.34 , 9.08 , 6.91 , 77.92 , 98.29 , 163.79 , 130.96 , 24.06 , 92.82 , 178.04 ,#VALUE!,#VALUE!
Tax, 9.21 , -42.46 , 4.41 , 0.15 , 14.26 , 13.84 , 34.35 , 67.47 , -44.32 , 18.01 , 18.01 ,10%,10%
Net profit, 57.25 , -79.87 , 4.68 , 6.76 , 63.66 , 84.45 , 129.45 , 63.49 , 68.38 , 74.80 , 160.03 ,#VALUE!,#VALUE!
EPS, 13.76 , -19.20 , 1.13 , 1.63 , 15.30 , 20.30 , 31.12 , 15.26 , 16.44 , 17.98 , 38.43 ,#VALUE!,#VALUE!
Price to earning, 47.50 , -7.65 , 259.69 , 675.08 , 68.23 , 67.09 , 33.55 , 66.34 , 27.48 , 69.84 , 46.54 ,#REF!,#REF!
Price, 653.65 , 146.95 , 292.15 ," 1,097.00 "," 1,044.10 "," 1,362.00 "," 1,044.10 "," 1,012.55 ", 451.65 ," 1,255.75 "," 1,788.25 ",#VALUE!,#VALUE!
