Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 2,561.33 "," 2,905.62 "," 3,247.92 "," 3,655.40 "," 3,857.81 "," 4,225.32 "," 4,723.79 "," 5,515.55 "," 5,691.69 "," 6,021.41 "," 7,610.14 "," 7,610.14 "," 6,662.69 "
Expenses," 2,283.85 "," 2,569.30 "," 2,858.28 "," 3,180.00 "," 3,250.16 "," 3,676.52 "," 3,980.39 "," 4,652.91 "," 4,733.89 "," 4,924.46 "," 6,439.09 "," 6,321.49 "," 5,673.46 "
Operating Profit, 277.48 , 336.32 , 389.64 , 475.40 , 607.65 , 548.80 , 743.40 , 862.64 , 957.80 ," 1,096.95 "," 1,171.05 "," 1,288.65 ", 989.22 
Other Income, 30.62 , 30.76 , 30.59 , 34.19 , 36.16 , 220.30 , 46.53 , 25.03 , 150.82 , 40.97 , 50.63 , -   , -   
Depreciation, 37.56 , 46.28 , 58.27 , 78.62 , 88.07 , 98.00 , 111.92 , 165.45 , 170.52 , 186.12 , 193.41 , 193.41 , 193.41 
Interest, 22.37 , 27.67 , 34.26 , 34.72 , 17.05 , 7.76 , 16.20 , 34.87 , 32.68 , 33.22 , 40.38 , 40.38 , 40.38 
Profit before tax, 248.17 , 293.13 , 327.70 , 396.25 , 538.69 , 663.34 , 661.81 , 687.35 , 905.42 , 918.58 , 987.89 ," 1,054.86 ", 755.43 
Tax, 70.78 , 83.33 , 93.45 , 130.22 , 182.43 , 219.25 , 229.97 , 251.50 , 206.37 , 237.80 , 256.03 ,26%,26%
Net profit, 177.39 , 209.80 , 234.25 , 266.03 , 356.26 , 444.09 , 431.84 , 435.85 , 699.05 , 680.78 , 731.86 , 781.48 , 559.65 
EPS, 1.83 , 2.16 , 2.41 , 2.74 , 3.67 , 4.57 , 4.45 , 4.49 , 7.20 , 7.01 , 7.54 , 8.05 , 5.76 
Price to earning, 20.82 , 32.23 , 34.00 , 54.38 , 47.65 , 52.94 , 57.72 , 72.13 , 69.18 , 109.15 , 96.06 , 96.06 , 58.75 
Price, 38.11 , 69.73 , 82.09 , 149.04 , 174.86 , 242.10 , 256.70 , 323.75 , 497.95 , 765.00 , 723.95 , 773.03 , 338.59 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,27.32%,29.71%,32.54%,32.58%,32.12%,38.26%,40.47%,42.33%,30.56%,39.95%,,,
OPM,10.83%,11.57%,12.00%,13.01%,15.75%,12.99%,15.74%,15.64%,16.83%,18.22%,15.39%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.96%,9.22%,9.31%,8.43%,26.38%,26.38%,8.43%
,,,,,,OPM,14.85%,15.71%,16.08%,16.93%,15.39%,16.93%,14.85%
,,,,,,Price to Earning, 58.75 , 69.90 , 76.20 , 86.63 , 96.06 , 96.06 , 58.75 
