Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 141.95 , 185.19 , 360.28 , 437.69 , 451.21 , 618.50 , 792.33 , 989.32 ," 1,212.82 "," 1,091.27 "," 1,126.18 "," 1,214.16 "," 1,127.30 "
Expenses, 125.26 , 159.42 , 296.46 , 355.26 , 369.98 , 507.61 , 633.61 , 801.73 , 982.85 , 851.02 , 892.31 , 962.02 , 912.38 
Operating Profit, 16.69 , 25.77 , 63.82 , 82.43 , 81.23 , 110.89 , 158.72 , 187.59 , 229.97 , 240.25 , 233.87 , 252.14 , 214.91 
Other Income, -0.29 , 0.18 , 0.64 , 0.86 , 0.60 , 1.91 , 4.50 , 0.74 , 13.61 , 5.87 , 9.05 , -   , -   
Depreciation, 1.62 , 6.88 , 17.83 , 17.73 , 17.03 , 16.43 , 16.42 , 16.89 , 21.94 , 25.76 , 24.94 , 24.94 , 24.94 
Interest, 1.06 , 4.96 , 16.56 , 17.50 , 13.24 , 12.45 , 11.63 , 16.31 , 16.44 , 4.41 , 5.72 , 5.72 , 5.72 
Profit before tax, 13.72 , 14.11 , 30.07 , 48.06 , 51.56 , 83.92 , 135.17 , 155.13 , 205.20 , 215.95 , 212.26 , 221.48 , 184.25 
Tax, 3.89 , 4.53 , 9.91 , 16.31 , 17.68 , 29.39 , 36.86 , 43.61 , 47.55 , 51.48 , 52.45 ,25%,25%
Net profit, 9.83 , 9.59 , 20.15 , 31.75 , 33.88 , 54.53 , 98.31 , 111.52 , 157.64 , 164.47 , 159.81 , 166.75 , 138.72 
EPS, 23.40 , 22.83 , 47.98 , 75.60 , 80.67 , 129.83 , 234.07 , 265.52 , 375.33 , 391.60 , 384.13 , 400.82 , 333.45 
Price to earning, 5.19 , 5.59 , 6.74 , 10.93 , 10.91 , 22.47 , 18.51 , 15.51 , 13.75 , 24.04 , 33.76 , 33.76 , 15.22 
Price, 121.55 , 127.65 , 323.20 , 826.45 , 880.35 ," 2,917.00 "," 4,332.65 "," 4,118.65 "," 5,159.60 "," 9,415.60 "," 12,968.90 "," 13,532.21 "," 5,074.75 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,5.19%,0.00%,2.08%,2.02%,1.51%,1.17%,0.65%,0.57%,0.41%,0.39%,,,
OPM,11.76%,13.92%,17.71%,18.83%,18.00%,17.93%,20.03%,18.96%,18.96%,22.02%,20.77%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,25.44%,17.15%,19.32%,11.26%,3.20%,11.26%,3.20%
,,,,,,OPM,19.06%,19.51%,19.71%,19.97%,20.77%,20.77%,19.06%
,,,,,,Price to Earning, 15.22 , 18.74 , 21.34 , 21.77 , 33.76 , 33.76 , 15.22 
