Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 47,963.74 "," 48,411.43 "," 39,100.58 "," 30,716.85 "," 25,467.39 "," 28,434.79 "," 28,813.00 "," 30,422.68 "," 21,459.19 "," 17,308.44 "," 20,320.42 ",#VALUE!,#VALUE!
Expenses," 38,075.75 "," 39,021.60 "," 34,580.75 "," 28,618.62 "," 26,834.06 "," 27,311.89 "," 26,806.33 "," 28,267.50 "," 21,587.85 "," 20,351.20 "," 21,998.72 ",#VALUE!,#VALUE!
Operating Profit," 9,887.99 "," 9,389.83 "," 4,519.83 "," 2,098.23 "," -1,366.67 "," 1,122.90 "," 2,006.67 "," 2,155.18 ", -128.66 ," -3,042.76 "," -1,678.30 ",#VALUE!,#VALUE!
Other Income," 1,265.55 "," 1,121.27 "," 1,610.02 "," 1,210.75 "," 1,497.72 ", 765.92 , 694.28 , 744.18 , 580.58 , 369.84 , 324.25 , -   , -   
Depreciation, 800.00 , 953.39 , 982.92 ," 1,077.32 ", 935.74 , 848.84 , 786.40 , 474.81 , 502.86 , 473.05 , 354.68 , 354.68 , 354.68 
Interest, 51.28 , 125.27 , 132.63 , 91.65 , 359.48 , 412.15 , 329.56 , 377.05 , 611.17 , 465.63 , 337.41 , 337.41 , 337.41 
Profit before tax," 10,302.26 "," 9,432.44 "," 5,014.30 "," 2,140.01 "," -1,164.17 ", 627.83 ," 1,584.99 "," 2,047.50 ", -662.11 ," -3,611.60 "," -2,046.14 ",#VALUE!,#VALUE!
Tax," 3,262.30 "," 2,817.71 "," 1,553.52 ", 720.72 , -454.57 , 131.97 , 778.39 , 838.85 , 810.86 , -894.46 , -514.63 ,0%,0%
Net profit," 7,039.96 "," 6,614.73 "," 3,460.78 "," 1,419.29 ", -709.60 , 495.86 , 806.60 ," 1,208.65 "," -1,472.97 "," -2,717.14 "," -1,531.51 ",#VALUE!,#VALUE!
EPS, 19.18 , 18.02 , 9.43 , 3.87 , -1.93 , 1.35 , 2.20 , 3.47 , -4.23 , -7.80 , -4.40 ,#VALUE!,#VALUE!
Price to earning, 8.94 , 6.55 , 13.87 , 40.59 , -39.27 , 80.39 , 37.03 , 21.59 , -4.92 , -6.25 , -   ,#REF!,#REF!
Price, 171.43 , 118.00 , 130.70 , 156.90 , 75.90 , 108.57 , 81.35 , 74.95 , 20.80 , 48.75 , 56.05 ,#VALUE!,#VALUE!
