Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 1,555.80 "," 1,938.00 "," 2,202.50 "," 2,241.60 "," 2,301.80 "," 2,587.90 "," 2,419.20 "," 1,785.70 "," 1,988.40 "," 2,028.40 "," 1,712.10 "," 2,069.20 "," 1,930.74 "
Expenses," 1,222.30 "," 1,532.30 "," 1,729.20 "," 1,811.70 "," 1,880.00 "," 1,996.10 "," 2,101.00 "," 1,575.40 "," 1,702.40 "," 1,715.90 "," 1,610.60 "," 1,780.78 "," 1,816.28 "
Operating Profit, 333.50 , 405.70 , 473.30 , 429.90 , 421.80 , 591.80 , 318.20 , 210.30 , 286.00 , 312.50 , 101.50 , 288.42 , 114.46 
Other Income, 66.60 , 37.60 , 60.60 , 127.30 , 279.20 , 98.80 , 124.70 , 422.00 , 366.00 , 150.20 , 171.30 , -   , -   
Depreciation, 94.00 , 95.10 , 124.40 , 128.10 , 139.70 , 150.60 , 136.10 , 92.30 , 98.00 , 103.50 , 105.50 , 105.50 , 105.50 
Interest, 1.70 , 1.20 , 0.90 , 0.80 , 1.90 , 3.80 , 1.00 , 2.60 , 1.20 , 0.40 , 0.50 , 0.50 , 0.50 
Profit before tax, 304.40 , 347.00 , 408.60 , 428.30 , 559.40 , 536.20 , 305.80 , 537.40 , 552.80 , 358.80 , 166.80 , 182.42 , 8.46 
Tax, 48.90 , 71.30 , 84.20 , 67.10 , 190.80 , 16.90 , 67.30 , 44.70 , 111.90 , 78.30 , 51.10 ,31%,31%
Net profit, 255.50 , 275.70 , 324.40 , 361.20 , 368.60 , 519.30 , 238.50 , 492.70 , 440.90 , 280.50 , 115.70 , 126.54 , 5.87 
EPS, 2.13 , 2.30 , 2.70 , 3.01 , 3.07 , 4.33 , 1.99 , 4.11 , 3.67 , 2.34 , 0.96 , 1.05 , 0.05 
Price to earning, 18.71 , 19.85 , 26.16 , 25.99 , 26.23 , 43.61 , 149.41 , 74.35 , 73.64 , 174.93 , 360.54 , 360.54 , 90.31 
Price, 39.83 , 45.61 , 70.73 , 78.22 , 80.56 , 188.72 , 296.95 , 305.28 , 270.55 , 408.90 , 347.30 , 379.83 , 4.41 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,39.14%,54.41%,30.83%,27.69%,27.13%,11.55%,25.16%,12.18%,0.00%,0.00%,,,
OPM,21.44%,20.93%,21.49%,19.18%,18.32%,22.87%,13.15%,11.78%,14.38%,15.41%,5.93%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.99%,-1.17%,-2.50%,-5.70%,2.01%,2.01%,-5.70%
,,,,,,OPM,17.97%,16.74%,15.90%,13.94%,5.93%,13.94%,5.93%
,,,,,,Price to Earning, 90.31 , 116.09 , 146.08 , 170.87 , 360.54 , 360.54 , 90.31 
