Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 571.44 , 776.11 , 898.70 , 988.05 ," 1,562.56 "," 1,483.76 "," 1,248.90 "," 1,798.34 "," 1,837.36 "," 1,514.45 "," 2,097.76 "," 2,097.76 "," 1,501.37 "
Expenses, 431.24 , 573.01 , 613.84 , 692.76 ," 1,192.00 "," 1,081.35 ", 847.90 ," 1,316.41 "," 1,346.56 "," 1,112.04 "," 1,557.30 "," 1,537.64 "," 1,114.56 "
Operating Profit, 140.20 , 203.10 , 284.86 , 295.29 , 370.56 , 402.41 , 401.00 , 481.93 , 490.80 , 402.41 , 540.46 , 560.12 , 386.81 
Other Income, 37.57 , 12.03 , 17.07 , 19.96 , 89.84 , 86.21 , 103.15 , 122.70 , 129.67 , 59.45 , 118.97 , -   , -   
Depreciation, 49.25 , 72.24 , 76.53 , 91.99 , 97.98 , 76.04 , 69.05 , 68.22 , 75.60 , 86.58 , 87.16 , 87.16 , 87.16 
Interest, 60.39 , 82.88 , 102.42 , 114.60 , 150.40 , 179.53 , 183.29 , 177.84 , 200.50 , 197.59 , 154.58 , 154.58 , 154.58 
Profit before tax, 68.13 , 60.01 , 122.98 , 108.66 , 212.02 , 233.05 , 251.81 , 358.57 , 344.37 , 177.69 , 417.69 , 318.38 , 145.07 
Tax, 10.04 , -4.24 , 33.18 , 38.66 , 64.70 , 69.08 , 71.30 , 124.35 , 83.57 , 33.13 , 94.12 ,23%,23%
Net profit, 58.09 , 64.25 , 89.80 , 70.00 , 147.32 , 163.97 , 180.51 , 234.22 , 260.80 , 144.56 , 323.57 , 246.64 , 112.38 
EPS, 3.45 , 3.82 , 5.33 , 4.14 , 8.68 , 9.62 , 8.84 , 11.46 , 12.76 , 6.85 , 14.00 , 10.67 , 4.86 
Price to earning, 11.08 , 9.97 , 7.65 , 23.04 , 11.08 , 16.05 , 18.52 , 14.57 , 10.20 , 40.54 , 35.65 , 35.65 , 18.03 
Price, 38.23 , 38.03 , 40.77 , 95.37 , 96.17 , 154.37 , 163.77 , 167.07 , 130.15 , 277.85 , 499.20 , 380.51 , 87.70 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,28.99%,26.21%,25.00%,32.21%,15.37%,17.33%,15.07%,11.63%,7.84%,17.51%,,,
OPM,24.53%,26.17%,31.70%,29.89%,23.71%,27.12%,32.11%,26.80%,26.71%,26.57%,25.76%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.44%,7.74%,-0.62%,6.64%,38.52%,38.52%,-0.62%
,,,,,,OPM,27.39%,27.26%,27.64%,26.70%,25.76%,26.70%,25.76%
,,,,,,Price to Earning, 18.03 , 21.21 , 22.59 , 25.24 , 35.65 , 35.65 , 18.03 
