Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 612.89 , 715.24 , 930.30 ," 1,245.75 "," 1,261.85 "," 1,319.56 ", 809.05 ," 1,001.99 "," 1,462.16 "," 1,640.53 "," 1,937.11 "," 2,076.45 "," 1,744.92 "
Expenses, 477.87 , 541.52 , 681.81 ," 1,005.52 ", 971.16 ," 1,057.57 ", 678.30 , 837.41 ," 1,192.60 "," 1,285.02 "," 1,539.91 "," 1,650.67 "," 1,413.93 "
Operating Profit, 135.02 , 173.72 , 248.49 , 240.23 , 290.69 , 261.99 , 130.75 , 164.58 , 269.56 , 355.51 , 397.20 , 425.77 , 330.99 
Other Income, 15.97 , 6.29 , 29.31 , 22.76 , 27.69 , 15.94 , 116.14 , 86.61 , 34.92 , 11.90 , 55.29 , -   , -   
Depreciation, 39.57 , 37.51 , 39.96 , 69.43 , 58.37 , 71.14 , 34.76 , 39.02 , 69.26 , 69.94 , 66.73 , 66.73 , 66.73 
Interest, 4.55 , 8.21 , 20.03 , 22.16 , 10.64 , 8.54 , 3.57 , 5.38 , 12.35 , 10.24 , 9.93 , 9.93 , 9.93 
Profit before tax, 106.87 , 134.29 , 217.81 , 171.40 , 249.37 , 198.25 , 208.56 , 206.79 , 222.87 , 287.23 , 375.83 , 349.11 , 254.33 
Tax, 32.20 , 31.24 , 48.16 , 19.36 , 46.21 , 28.95 , 31.01 , 39.15 , 82.12 , 93.67 , 99.84 ,27%,27%
Net profit, 74.67 , 103.05 , 169.65 , 152.04 , 203.17 , 169.29 , 177.55 , 167.63 , 140.75 , 193.56 , 275.99 , 256.37 , 186.77 
EPS, 4.20 , 5.34 , 8.74 , 7.73 , 10.29 , 8.57 , 8.99 , 6.12 , 5.09 , 6.98 , 9.87 , 9.17 , 6.68 
Price to earning, 12.01 , 11.38 , 11.58 , 15.35 , 9.04 , 9.52 , 15.16 , 16.13 , 11.99 , 36.25 , 49.60 , 49.60 , 18.00 
Price, 50.40 , 60.85 , 101.21 , 118.61 , 93.03 , 81.61 , 136.26 , 98.65 , 61.00 , 253.05 , 489.65 , 454.84 , 120.26 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,16.69%,16.84%,12.02%,13.61%,20.34%,24.46%,25.62%,32.71%,39.32%,50.14%,,,
OPM,22.03%,24.29%,26.71%,19.28%,23.04%,19.85%,16.16%,16.43%,18.44%,21.67%,20.50%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.56%,8.44%,5.39%,26.57%,18.08%,26.57%,5.39%
,,,,,,OPM,20.64%,19.60%,18.97%,19.24%,20.50%,20.50%,18.97%
,,,,,,Price to Earning, 18.00 , 20.38 , 23.11 , 28.49 , 49.60 , 49.60 , 18.00 
