Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 30,850.62 "," 34,077.94 "," 39,547.61 "," 43,750.04 "," 44,022.14 "," 41,387.64 "," 41,252.09 "," 46,810.34 "," 48,934.99 "," 69,239.78 "," 67,864.18 "," 97,969.72 "," 74,892.73 "
Expenses," 6,377.31 "," 7,170.22 "," 9,585.54 "," 10,289.23 "," 17,654.41 "," 15,456.71 "," 25,221.99 "," 22,963.65 "," 22,260.47 "," 34,820.05 "," 32,818.16 "," 47,376.77 "," 36,511.95 "
Operating Profit," 24,473.31 "," 26,907.72 "," 29,962.07 "," 33,460.81 "," 26,367.73 "," 25,930.93 "," 16,030.10 "," 23,846.69 "," 26,674.52 "," 34,419.73 "," 35,046.02 "," 50,592.94 "," 38,380.78 "
Other Income," 2,927.60 "," 3,153.01 "," 3,932.76 "," 4,550.25 "," 4,875.23 "," 7,554.40 "," 6,942.85 "," 6,574.96 "," 7,813.15 "," 15,285.29 "," 15,887.56 ", -   , -   
Depreciation, 156.89 , 189.69 , 228.47 , 427.06 , 169.96 , 327.54 , 445.05 , 416.84 , 432.16 , 820.17 , -   , -   , -   
Interest," 23,161.31 "," 26,198.94 "," 30,603.17 "," 34,086.37 "," 34,258.77 "," 31,515.87 "," 29,088.76 "," 32,332.22 "," 35,811.08 "," 45,177.62 "," 42,896.85 "," 42,896.85 "," 42,896.85 "
Profit before tax," 4,082.71 "," 3,672.10 "," 3,063.19 "," 3,497.63 "," -3,185.77 "," 1,641.92 "," -6,560.86 "," -2,327.41 "," -1,755.57 "," 3,707.23 "," 8,036.73 "," 7,696.09 "," -4,516.07 "
Tax, 800.00 , 800.00 , 625.00 , 795.00 , -372.95 , 520.00 ," -2,338.62 "," -2,674.42 ", 480.15 ," 1,149.65 "," 3,013.66 ",37%,37%
Net profit," 3,282.71 "," 2,872.10 "," 2,438.19 "," 2,702.62 "," -2,812.82 "," 1,121.92 "," -4,222.24 ", 347.02 ," -2,235.72 "," 2,557.58 "," 5,023.07 "," 4,810.17 "," -2,822.61 "
EPS, 67.37 , 58.94 , 48.05 , 51.70 , -47.09 , 18.78 , -57.59 , 4.61 , -21.70 , 15.53 , 27.69 , 26.52 , -15.56 
Price to earning, 6.87 , 6.34 , 5.35 , 6.92 , -3.93 , 16.12 , -4.58 , 63.23 , -4.17 , 9.80 , 8.77 , 27.27 , 8.77 
Price, 462.78 , 373.54 , 257.12 , 357.74 , 184.85 , 302.75 , 263.90 , 291.30 , 90.50 , 152.20 , 242.95 , 723.11 , -136.52 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,14.84%,20.05%,20.81%,18.46%,0.00%,5.32%,0.00%,0.00%,0.00%,0.00%,,,
OPM,79.33%,78.96%,75.76%,76.48%,59.90%,62.65%,38.86%,50.94%,54.51%,49.71%,51.64%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.40%,8.33%,9.48%,18.84%,41.49%,41.49%,8.33%
,,,,,,OPM,60.94%,55.67%,51.25%,51.48%,51.64%,51.64%,51.25%
,,,,,,Price to Earning, 15.42 , 20.97 , 24.48 , 27.27 , 8.77 , 27.27 , 8.77 
