Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 4,872.78 "," 5,949.47 "," 6,675.13 "," 7,559.27 "," 7,966.96 "," 7,644.75 "," 3,897.79 "," 3,943.56 "," 3,424.26 "," 2,610.55 "," 3,747.92 ",#VALUE!,#VALUE!
Expenses," 4,445.48 "," 5,368.98 "," 5,947.32 "," 6,905.61 "," 7,290.54 "," 6,720.84 "," 3,092.31 "," 2,979.67 "," 2,790.06 "," 2,342.53 "," 3,284.88 ",#VALUE!,#VALUE!
Operating Profit, 427.30 , 580.49 , 727.81 , 653.66 , 676.42 , 923.91 , 805.48 , 963.89 , 634.20 , 268.02 , 463.04 ,#VALUE!,#VALUE!
Other Income, 25.45 , 24.20 , 17.61 , 46.48 , 51.79 , 61.88 , 137.86 ," 5,673.13 ", 43.37 , 79.61 , 76.98 , -   , -   
Depreciation, 258.12 , 355.95 , 354.62 , 249.21 , 283.09 , 313.34 , 199.31 , 193.00 , 227.76 , 229.02 , 229.27 , 229.27 , 229.27 
Interest, 172.08 , 319.95 , 362.80 , 484.62 , 587.65 , 550.75 , 211.81 , 101.55 , 93.13 , 88.55 , 75.35 , 75.35 , 75.35 
Profit before tax, 22.55 , -71.21 , 28.00 , -33.69 , -142.53 , 121.70 , 532.22 ," 6,342.47 ", 356.68 , 30.06 , 235.40 ,#VALUE!,#VALUE!
Tax, 0.42 , -36.72 , 25.28 , -49.18 , -47.53 , 16.71 , 160.56 , 266.91 , -93.69 , -1.44 , 84.73 ,36%,36%
Net profit, 22.13 , -34.49 , 2.72 , 15.49 , -95.00 , 104.99 , 371.66 ," 6,075.56 ", 450.37 , 31.50 , 150.67 ,#VALUE!,#VALUE!
EPS, 23.80 , -37.09 , 2.92 , 1.53 , -8.50 , 9.40 , 33.27 , 543.92 , 40.32 , 2.82 , 13.50 ,#VALUE!,#VALUE!
Price to earning, 7.04 , -3.52 , 56.42 , 189.63 , -28.29 , 50.89 , 15.60 , 0.78 , 7.34 , 164.91 , 64.54 ,#REF!,#REF!
Price, 167.53 , 130.38 , 165.01 , 289.40 , 240.59 , 478.35 , 518.98 , 423.82 , 296.10 , 465.05 , 871.65 ,#VALUE!,#VALUE!
