Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 4,680.54 "," 5,303.07 "," 5,509.88 "," 6,188.80 "," 6,796.14 "," 7,220.07 "," 7,785.84 "," 7,753.67 "," 7,835.93 "," 6,921.48 "," 7,372.00 "," 7,372.00 "," 6,637.91 "
Expenses," 3,458.65 "," 3,921.75 "," 3,998.51 "," 4,551.55 "," 4,765.26 "," 5,485.84 "," 6,046.04 "," 6,286.29 "," 6,292.12 "," 5,632.63 "," 6,120.00 "," 5,963.81 "," 5,510.58 "
Operating Profit," 1,221.89 "," 1,381.32 "," 1,511.37 "," 1,637.25 "," 2,030.88 "," 1,734.23 "," 1,739.80 "," 1,467.38 "," 1,543.81 "," 1,288.85 "," 1,252.00 "," 1,408.19 "," 1,127.33 "
Other Income, 101.31 , 106.72 , 99.66 , 84.80 , -60.51 , 333.52 , 377.18 , 721.58 , 672.72 , 637.11 , 716.00 , -   , -   
Depreciation, 289.48 , 306.21 , 338.59 , 343.07 , 369.51 , 408.83 , 425.64 , 432.62 , 447.65 , 462.74 , 468.00 , 468.00 , 468.00 
Interest, 340.41 , 408.33 , 447.55 , 496.26 , 554.81 , 557.69 , 591.91 , 573.64 , 650.27 , 615.82 , 502.00 , 502.00 , 502.00 
Profit before tax, 693.31 , 773.50 , 824.89 , 882.72 ," 1,046.05 "," 1,101.23 "," 1,099.43 "," 1,182.70 "," 1,118.61 ", 847.40 , 998.00 , 438.19 , 157.33 
Tax, 139.00 , 155.00 , 173.00 , 185.00 , 200.92 , 238.37 , 237.72 , 245.65 , 200.86 , 32.93 , 171.00 ,17%,17%
Net profit, 554.31 , 618.50 , 651.89 , 697.72 , 845.13 , 862.86 , 861.71 , 937.05 , 917.75 , 814.47 , 827.00 , 363.11 , 130.37 
EPS, 4.44 , 4.95 , 5.22 , 5.26 , 6.38 , 6.51 , 6.50 , 7.07 , 6.92 , 6.14 , 6.24 , 2.74 , 0.98 
Price to earning, 4.83 , 4.22 , 7.58 , 9.05 , 5.85 , 10.19 , 11.72 , 10.34 , 5.90 , 9.66 , 13.17 , 13.17 , 8.41 
Price, 21.43 , 20.89 , 39.54 , 47.63 , 37.28 , 66.34 , 76.20 , 73.07 , 40.86 , 59.36 , 82.15 , 36.07 , 8.27 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,11.33%,14.22%,15.41%,17.18%,15.76%,15.44%,18.55%,24.88%,29.03%,73.60%,,,
OPM,26.11%,26.05%,27.43%,26.46%,29.88%,24.02%,22.35%,18.92%,19.70%,18.62%,16.98%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.44%,3.31%,0.37%,-3.85%,6.51%,6.51%,-3.85%
,,,,,,OPM,23.57%,22.66%,20.72%,19.10%,16.98%,19.10%,16.98%
,,,,,,Price to Earning, 8.41 , 9.48 , 10.16 , 9.77 , 13.17 , 13.17 , 8.41 
