Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 981.43 ," 1,653.81 "," 1,793.23 "," 1,807.71 "," 1,814.45 "," 2,051.56 "," 2,139.33 "," 2,192.56 "," 2,350.07 "," 2,304.15 "," 2,535.39 "," 2,535.39 "," 2,367.66 "
Expenses, 870.31 ," 1,511.98 "," 1,651.04 "," 1,681.05 "," 1,676.10 "," 1,898.64 "," 1,999.66 "," 2,024.89 "," 2,178.24 "," 2,121.11 "," 2,361.73 "," 2,341.89 "," 2,205.49 "
Operating Profit, 111.12 , 141.83 , 142.19 , 126.66 , 138.35 , 152.92 , 139.67 , 167.67 , 171.83 , 183.04 , 173.66 , 193.50 , 162.17 
Other Income, -8.67 , 8.12 , 8.26 , 34.34 , 25.60 , 24.50 , 17.31 , 15.35 , 27.37 , 22.21 , 24.91 , -   , -   
Depreciation, 21.22 , 23.35 , 21.94 , 28.52 , 26.36 , 23.39 , 18.10 , 23.36 , 26.45 , 25.86 , 29.19 , 29.19 , 29.19 
Interest, 77.26 , 82.41 , 71.81 , 89.80 , 90.75 , 106.60 , 85.30 , 76.44 , 60.10 , 33.64 , 22.77 , 22.77 , 22.77 
Profit before tax, 3.97 , 44.19 , 56.70 , 42.68 , 46.84 , 47.43 , 53.58 , 83.22 , 112.65 , 145.75 , 146.61 , 141.54 , 110.21 
Tax, -0.48 , 10.37 , 18.23 , 12.03 , 16.45 , 17.52 , 11.62 , 28.73 , 27.49 , 39.27 , 36.34 ,25%,25%
Net profit, 4.44 , 33.83 , 38.48 , 30.66 , 30.38 , 29.90 , 41.96 , 54.49 , 85.16 , 106.48 , 110.26 , 106.46 , 82.89 
EPS, 0.17 , 1.29 , 1.46 , 1.16 , 1.14 , 1.12 , 1.31 , 1.70 , 2.66 , 3.33 , 3.45 , 3.33 , 2.59 
Price to earning, 22.41 , 3.64 , 6.19 , 8.57 , 19.83 , 58.67 , 64.78 , 23.01 , 7.49 , 17.57 , 23.51 , 23.51 , 17.89 
Price, 3.81 , 4.70 , 9.05 , 9.93 , 22.60 , 65.80 , 85.00 , 39.20 , 19.95 , 58.50 , 81.05 , 78.25 , 46.38 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,15.46%,15.38%,17.25%,13.17%,13.38%,11.44%,8.81%,18.78%,15.02%,,,
OPM,11.32%,8.58%,7.93%,7.01%,7.62%,7.45%,6.53%,7.65%,7.31%,7.94%,6.85%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.95%,3.65%,4.89%,2.50%,10.04%,10.04%,2.50%
,,,,,,OPM,7.73%,7.37%,7.38%,7.63%,6.85%,7.63%,6.85%
,,,,,,Price to Earning, 23.24 , 27.93 , 32.51 , 17.89 , 23.51 , 23.51 , 17.89 
