Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,754.46 "," 4,342.11 "," 4,859.84 "," 5,419.77 "," 5,340.04 "," 5,290.65 "," 5,592.29 "," 6,273.19 "," 6,309.80 "," 7,184.73 "," 8,049.02 "," 8,180.98 "," 7,647.06 "
Expenses," 3,097.33 "," 3,618.79 "," 4,033.55 "," 4,479.64 "," 4,241.96 "," 4,178.30 "," 4,360.46 "," 4,905.95 "," 4,927.27 "," 5,625.53 "," 6,311.92 "," 6,397.69 "," 6,114.17 "
Operating Profit, 657.13 , 723.32 , 826.29 , 940.13 ," 1,098.08 "," 1,112.35 "," 1,231.83 "," 1,367.24 "," 1,382.53 "," 1,559.20 "," 1,737.10 "," 1,783.29 "," 1,532.89 "
Other Income, 9.88 , 93.80 , 108.28 , 112.26 , 194.36 , 273.66 , 265.69 , 274.74 , 175.14 , 276.65 , 319.91 , -   , -   
Depreciation, 65.88 , 49.05 , 53.89 , 65.97 , 72.83 , 75.43 , 102.50 , 108.83 , 129.93 , 143.40 , 156.40 , 156.40 , 156.40 
Interest, 14.10 , 18.40 , 19.35 , 9.89 , 10.26 , 16.23 , 21.89 , 29.80 , 19.27 , 9.14 , 15.11 , 15.11 , 15.11 
Profit before tax, 587.03 , 749.67 , 861.33 , 976.53 ," 1,209.35 "," 1,294.35 "," 1,373.13 "," 1,503.35 "," 1,408.47 "," 1,683.31 "," 1,885.50 "," 1,611.78 "," 1,361.38 "
Tax, 123.79 , 158.69 , 189.23 , 213.95 , 272.09 , 296.02 , 301.08 , 239.06 , 238.12 , 301.42 , 444.06 ,24%,24%
Net profit, 463.24 , 590.98 , 672.10 , 762.58 , 937.26 , 998.33 ," 1,072.05 "," 1,264.29 "," 1,170.35 "," 1,381.89 "," 1,441.44 "," 1,232.19 "," 1,040.76 "
EPS, 2.66 , 3.39 , 3.85 , 4.34 , 5.33 , 5.67 , 6.09 , 7.16 , 6.62 , 7.82 , 8.15 , 6.96 , 5.88 
Price to earning, 40.09 , 40.39 , 46.61 , 61.17 , 46.90 , 48.94 , 53.96 , 57.11 , 67.95 , 69.13 , 67.38 , 67.38 , 54.51 
Price, 106.60 , 136.95 , 179.65 , 265.55 , 249.90 , 277.35 , 328.40 , 408.80 , 450.05 , 540.50 , 548.95 , 469.26 , 320.68 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,48.89%,44.24%,45.40%,46.07%,42.23%,39.70%,123.23%,38.42%,45.30%,60.75%,,,
OPM,17.50%,16.66%,17.00%,17.35%,20.56%,21.02%,22.03%,21.79%,21.91%,21.70%,21.58%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.48%,5.74%,6.11%,8.71%,13.87%,13.87%,5.74%
,,,,,,OPM,20.05%,20.99%,21.71%,21.80%,21.58%,21.80%,20.05%
,,,,,,Price to Earning, 54.51 , 59.07 , 60.74 , 65.39 , 67.38 , 67.38 , 54.51 
