Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 716.97 , 916.10 ," 1,128.26 "," 1,422.42 "," 1,698.46 "," 2,076.15 "," 2,412.99 "," 3,041.49 "," 3,536.63 "," 3,458.21 "," 3,430.13 "," 3,898.97 "," 3,430.36 "
Expenses, 260.99 , 285.70 , 337.72 , 442.63 , 549.74 , 700.19 , 866.17 , 948.73 ," 1,112.94 "," 1,235.70 "," 1,419.04 "," 1,280.98 "," 1,419.13 "
Operating Profit, 455.98 , 630.40 , 790.54 , 979.79 ," 1,148.72 "," 1,375.96 "," 1,546.82 "," 2,092.76 "," 2,423.69 "," 2,222.51 "," 2,011.09 "," 2,617.99 "," 2,011.22 "
Other Income, 100.37 , 117.02 , 138.66 , 165.72 , 220.46 , 248.85 , 310.27 , 350.16 , 391.09 , 458.50 , 471.12 , -   , -   
Depreciation, 11.97 , 13.64 , 17.97 , 23.36 , 29.10 , 39.03 , 53.36 , 44.18 , 51.14 , 56.60 , -   , -   , -   
Interest, 489.27 , 631.69 , 759.87 , 914.20 ," 1,078.96 "," 1,279.06 "," 1,417.56 "," 1,892.20 "," 2,271.72 "," 2,171.60 "," 2,141.88 "," 2,141.88 "," 2,141.88 "
Profit before tax, 55.11 , 102.09 , 151.36 , 207.95 , 261.12 , 306.72 , 386.17 , 506.54 , 491.92 , 452.81 , 340.33 , 476.11 , -130.66 
Tax, 0.03 , 0.03 , -   , 16.77 , 66.59 , 107.04 , 140.83 , 181.18 , 153.98 , 117.01 , 88.35 ,26%,26%
Net profit, 55.08 , 102.06 , 151.36 , 191.18 , 194.52 , 199.68 , 245.34 , 325.37 , 337.94 , 335.79 , 251.98 , 352.51 , -96.74 
EPS, 2.29 , 4.08 , 6.05 , 6.78 , 6.84 , 7.00 , 7.96 , 10.51 , 10.89 , 10.81 , 8.11 , 11.34 , -3.11 
Price to earning, 19.67 , 10.54 , 10.13 , 16.37 , 11.59 , 24.33 , 20.29 , 19.47 , 8.71 , 9.49 , 9.46 , 11.78 , 9.46 
Price, 45.00 , 43.00 , 61.25 , 110.95 , 79.25 , 170.25 , 161.55 , 204.70 , 94.80 , 102.60 , 76.70 , 133.64 , -29.45 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,7.15%,9.42%,9.52%,0.00%,0.00%,,,
OPM,63.60%,68.81%,70.07%,68.88%,67.63%,66.27%,64.10%,68.81%,68.53%,64.27%,58.63%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,19.10%,17.35%,15.28%,12.75%,-0.81%,12.75%,-0.81%
,,,,,,OPM,66.97%,66.81%,66.52%,67.15%,58.63%,67.15%,58.63%
,,,,,,Price to Earning, 14.55 , 14.96 , 15.29 , 11.78 , 9.46 , 11.78 , 9.46 
