Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 789.89 ," 1,019.40 "," 1,269.63 "," 1,327.16 "," 1,335.72 "," 1,232.70 "," 1,454.98 "," 1,791.92 "," 2,229.66 "," 1,809.14 "," 2,286.51 "," 2,286.51 "," 1,927.79 "
Expenses, 731.82 , 944.19 ," 1,153.56 "," 1,186.35 "," 1,165.61 "," 1,086.43 "," 1,245.32 "," 1,480.07 "," 1,424.95 "," 1,270.98 "," 1,688.61 "," 1,637.61 "," 1,580.24 "
Operating Profit, 58.07 , 75.21 , 116.07 , 140.81 , 170.11 , 146.27 , 209.66 , 311.85 , 804.71 , 538.16 , 597.90 , 648.90 , 347.55 
Other Income, 2.43 , 7.67 , -0.30 , 0.95 , -0.23 , 82.52 , 6.24 , -1.69 , 1.26 , 12.85 , 63.24 , -   , -   
Depreciation, 17.79 , 18.94 , 29.64 , 36.02 , 39.45 , 47.60 , 51.95 , 52.88 , 77.93 , 66.88 , 74.91 , 74.91 , 74.91 
Interest, 11.12 , 11.36 , 27.97 , 37.99 , 39.10 , 32.31 , 41.87 , 44.79 , 22.01 , 5.52 , 1.37 , 1.37 , 1.37 
Profit before tax, 31.59 , 52.58 , 58.16 , 67.75 , 91.33 , 148.88 , 122.08 , 212.49 , 706.03 , 478.61 , 584.86 , 572.62 , 271.27 
Tax, 8.51 , 14.75 , 19.83 , 14.30 , 26.17 , 38.24 , 38.62 , 74.45 , 161.99 , 123.89 , 140.25 ,24%,24%
Net profit, 23.08 , 37.82 , 38.33 , 53.44 , 65.15 , 110.64 , 83.46 , 138.04 , 544.04 , 354.72 , 444.61 , 435.30 , 206.22 
EPS, 2.21 , 3.62 , 3.67 , 5.11 , 5.60 , 8.47 , 6.12 , 10.12 , 39.89 , 26.01 , 32.59 , 31.91 , 15.12 
Price to earning, 6.50 , 7.32 , 11.64 , 13.39 , 12.14 , 15.50 , 40.51 , 27.09 , 9.65 , 63.70 , 71.38 , 71.38 , 25.35 
Price, 14.35 , 26.50 , 42.70 , 68.50 , 68.00 , 131.25 , 247.90 , 274.15 , 385.05 ," 1,656.50 "," 2,326.50 "," 2,277.80 ", 383.19 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,27.17%,22.10%,27.26%,19.57%,21.43%,14.17%,21.24%,19.76%,11.28%,21.15%,,,
OPM,7.35%,7.38%,9.14%,10.61%,12.74%,11.87%,14.41%,17.40%,36.09%,29.75%,26.15%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.65%,5.19%,6.26%,7.53%,26.39%,26.39%,5.19%
,,,,,,OPM,18.03%,20.76%,23.60%,28.38%,26.15%,28.38%,18.03%
,,,,,,Price to Earning, 25.35 , 31.67 , 37.97 , 42.96 , 71.38 , 71.38 , 25.35 
