Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 453.54 , 528.63 , 652.85 , 724.11 , 758.28 , 886.13 , 925.55 ," 1,028.76 ", 967.10 ," 1,036.96 "," 1,285.61 "," 1,285.61 "," 1,086.60 "
Expenses, 419.71 , 486.45 , 610.21 , 668.18 , 691.71 , 785.30 , 801.19 , 892.36 , 861.44 , 898.54 ," 1,093.15 "," 1,093.15 ", 971.03 
Operating Profit, 33.83 , 42.18 , 42.64 , 55.93 , 66.57 , 100.83 , 124.36 , 136.40 , 105.66 , 138.42 , 192.46 , 192.46 , 115.57 
Other Income, 2.58 , 3.82 , 3.35 , 6.45 , 8.26 , 1.40 , 2.01 , 2.21 , 4.71 , 3.47 , 4.87 , -   , -   
Depreciation, 9.11 , 10.04 , 8.85 , 11.37 , 13.73 , 14.78 , 12.17 , 11.10 , 14.21 , 15.47 , 16.97 , 16.97 , 16.97 
Interest, 14.50 , 19.38 , 16.55 , 20.24 , 20.20 , 20.70 , 18.39 , 16.48 , 16.37 , 9.11 , 6.29 , 6.29 , 6.29 
Profit before tax, 12.80 , 16.58 , 20.59 , 30.77 , 40.90 , 66.75 , 95.81 , 111.03 , 79.79 , 117.31 , 174.07 , 169.20 , 92.31 
Tax, 4.01 , 5.41 , 6.87 , 11.33 , 14.55 , 23.26 , 31.79 , 35.78 , 20.33 , 30.02 , 45.22 ,26%,26%
Net profit, 8.79 , 11.17 , 13.72 , 19.45 , 26.35 , 43.49 , 64.02 , 75.25 , 59.45 , 87.28 , 128.87 , 125.25 , 68.33 
EPS, 2.27 , 2.88 , 3.54 , 5.02 , 6.80 , 8.02 , 11.29 , 13.27 , 10.49 , 15.39 , 22.70 , 22.07 , 12.04 
Price to earning,  ,  ,  ,  ,  ,  , 34.47 , 21.58 , 10.45 , 14.97 , 25.79 , 25.79 , 18.20 
Price, -   , -   , -   , -   , -   , -   , 389.15 , 286.45 , 109.60 , 230.45 , 585.45 , 568.98 , 219.08 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,8.87%,8.33%,8.45%,0.00%,4.40%,12.46%,14.17%,12.81%,16.22%,15.59%,,,
OPM,7.46%,7.98%,6.53%,7.72%,8.78%,11.38%,13.44%,13.26%,10.93%,13.35%,14.97%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.62%,6.83%,6.46%,3.86%,23.98%,23.98%,3.86%
,,,,,,OPM,10.64%,11.51%,12.50%,12.55%,14.97%,14.97%,10.64%
,,,,,,Price to Earning, 21.45 , 21.45 , 21.45 , 18.20 , 25.79 , 25.79 , 18.20 
