Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 1,312.36 "," 1,530.74 "," 1,594.78 "," 1,903.96 "," 2,149.93 "," 2,301.71 "," 2,353.99 "," 2,488.70 "," 2,389.92 "," 2,582.29 "," 2,843.74 "," 2,843.74 "," 2,671.40 "
Expenses," 1,041.89 "," 1,182.49 "," 1,166.86 "," 1,393.26 "," 1,494.87 "," 1,562.48 "," 1,654.10 "," 1,782.28 "," 1,797.89 "," 1,737.58 "," 1,941.69 "," 1,941.69 "," 1,920.25 "
Operating Profit, 270.47 , 348.25 , 427.92 , 510.70 , 655.06 , 739.23 , 699.89 , 706.42 , 592.03 , 844.71 , 902.05 , 902.05 , 751.15 
Other Income, 59.86 , 55.77 , 60.58 , 102.66 , 38.22 , 44.97 , 27.82 , 27.41 , 90.83 , 102.66 , 134.32 , -   , -   
Depreciation, 18.65 , 21.19 , 32.82 , 31.48 , 252.13 , 304.67 , 305.31 , 318.04 , 326.10 , 361.15 , 327.67 , 327.67 , 327.67 
Interest, 15.55 , 6.10 , 3.89 , 4.90 , 53.75 , 57.62 , 33.17 , 19.29 , 18.90 , 12.01 , 6.47 , 6.47 , 6.47 
Profit before tax, 296.13 , 376.73 , 451.79 , 576.98 , 387.40 , 421.91 , 389.23 , 396.50 , 337.86 , 574.21 , 702.23 , 567.91 , 417.01 
Tax, 39.32 , 52.96 , 53.56 , 105.35 , 55.25 , 75.55 , 79.72 , 91.25 , 48.74 , 99.09 , 124.53 ,18%,18%
Net profit, 256.81 , 323.77 , 398.23 , 471.63 , 332.15 , 346.37 , 309.52 , 305.24 , 289.12 , 475.13 , 577.70 , 467.20 , 343.06 
EPS, 5.66 , 7.13 , 8.77 , 10.39 , 7.32 , 7.63 , 6.82 , 6.72 , 6.37 , 10.69 , 13.09 , 10.58 , 7.77 
Price to earning, 23.82 , 28.14 , 24.81 , 48.18 , 63.70 , 69.74 , 78.37 , 59.48 , 26.68 , 45.47 , 35.44 , 41.77 , 35.44 
Price, 134.75 , 200.65 , 217.65 , 500.60 , 466.15 , 532.18 , 534.43 , 400.00 , 169.95 , 486.00 , 463.85 , 442.07 , 275.45 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,47.13%,37.38%,39.90%,33.69%,47.84%,45.88%,51.34%,59.48%,62.70%,74.84%,,,
OPM,20.61%,22.75%,26.83%,26.82%,30.47%,32.12%,29.73%,28.39%,24.77%,32.71%,31.72%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,7.81%,7.13%,3.73%,3.13%,10.12%,10.12%,3.13%
,,,,,,OPM,28.12%,29.36%,29.57%,28.73%,31.72%,31.72%,28.12%
,,,,,,Price to Earning, 45.80 , 53.38 , 52.53 , 41.77 , 35.44 , 41.77 , 35.44 
