Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,698.82 "," 2,505.97 "," 1,823.59 "," 1,713.00 "," 1,511.01 "," 1,448.64 "," 1,787.58 "," 2,444.34 "," 3,203.05 "," 3,104.69 "," 3,181.05 ",#VALUE!,#VALUE!
Expenses," 2,993.14 "," 1,914.56 "," 1,338.96 "," 1,488.86 "," 1,312.11 "," 1,144.46 "," 1,373.18 "," 2,076.78 "," 2,757.88 "," 2,764.83 "," 2,789.87 ",#VALUE!,#VALUE!
Operating Profit, 705.68 , 591.41 , 484.63 , 224.14 , 198.90 , 304.18 , 414.40 , 367.56 , 445.17 , 339.86 , 391.18 ,#VALUE!,#VALUE!
Other Income, 232.10 , 311.73 , 229.30 , 264.93 , 247.77 , 223.66 , 179.47 , 225.06 , 257.88 , 39.87 , -21.95 , -   , -   
Depreciation, 19.45 , 10.87 , 14.55 , 19.63 , 24.92 , 22.51 , 23.83 , 22.36 , 23.83 , 23.43 , 25.04 , 25.04 , 25.04 
Interest, 3.57 , 1.33 , 1.36 , 1.89 , 1.94 , 5.15 , 1.94 , 2.75 , 3.71 , 5.73 , 3.08 , 3.08 , 3.08 
Profit before tax, 914.76 , 890.94 , 698.02 , 467.55 , 419.81 , 500.18 , 568.10 , 567.51 , 675.51 , 350.57 , 341.11 ,#VALUE!,#VALUE!
Tax, 278.44 , 262.36 , 218.26 , 159.58 , 143.61 , 175.14 , 190.23 , 197.44 , 245.27 , 91.07 , 92.44 ,27%,27%
Net profit, 636.32 , 628.58 , 479.76 , 307.98 , 276.19 , 325.04 , 377.87 , 370.07 , 430.24 , 259.50 , 248.66 ,#VALUE!,#VALUE!
EPS, 9.44 , 9.33 , 7.12 , 4.57 , 4.10 , 4.82 , 5.98 , 5.86 , 6.81 , 4.62 , 4.42 ,#VALUE!,#VALUE!
Price to earning, 13.47 , 8.29 , 15.85 , 21.13 , 20.75 , 29.84 , 26.50 , 20.03 , 8.82 , 16.68 , 15.32 ,#REF!,#REF!
Price, 127.15 , 77.33 , 112.83 , 96.58 , 85.05 , 143.95 , 158.45 , 117.30 , 60.05 , 77.00 , 67.70 ,#VALUE!,#VALUE!
