Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 754.26 , 880.82 , 917.33 , 914.14 , 874.88 , 940.07 , 861.27 , 768.11 , 939.91 ," 1,324.74 "," 1,618.78 "," 1,867.13 "," 1,412.00 "
Expenses, 688.39 , 745.16 , 727.24 , 705.93 , 676.45 , 710.22 , 626.67 , 580.88 , 672.28 , 832.34 ," 1,043.97 "," 1,204.14 "," 1,071.91 "
Operating Profit, 65.87 , 135.66 , 190.09 , 208.21 , 198.43 , 229.85 , 234.60 , 187.23 , 267.63 , 492.40 , 574.81 , 663.00 , 340.09 
Other Income, 101.83 , 92.58 , 15.21 , 18.67 , 18.33 , 14.79 , 12.71 , 61.92 , 30.80 , 28.22 , 31.34 , -   , -   
Depreciation, 59.88 , 57.66 , 52.72 , 46.43 , 31.81 , 19.03 , 21.53 , 24.32 , 70.58 , 79.80 , 87.02 , 87.02 , 87.02 
Interest, 65.96 , 53.19 , 18.11 , 20.53 , 9.35 , 6.87 , 6.52 , 1.96 , 15.85 , 15.50 , 19.87 , 19.87 , 19.87 
Profit before tax, 41.86 , 117.39 , 134.47 , 159.92 , 175.60 , 218.74 , 219.26 , 222.87 , 212.00 , 425.32 , 499.26 , 556.11 , 233.20 
Tax, -3.50 , -   , -   , -3.84 , 24.39 , 30.28 , 27.34 , 23.85 , 29.97 , 58.68 , 77.37 ,15%,15%
Net profit, 45.36 , 117.39 , 134.47 , 163.75 , 151.22 , 188.46 , 191.92 , 199.02 , 182.02 , 366.65 , 421.90 , 469.93 , 197.06 
EPS, 1.05 , 1.78 , 2.04 , 2.46 , 2.25 , 2.77 , 2.80 , 2.88 , 2.62 , 5.27 , 6.04 , 6.73 , 2.82 
Price to earning, 9.07 , 5.71 , 12.39 , 12.55 , 14.94 , 15.07 , 18.96 , 16.30 , 10.46 , 21.62 , 22.01 , 22.01 , 14.46 
Price, 9.55 , 10.20 , 25.25 , 30.85 , 33.55 , 41.70 , 53.00 , 46.95 , 27.45 , 113.90 , 132.95 , 148.08 , 40.80 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,53.66%,69.45%,95.30%,56.96%,,,
OPM,8.73%,15.40%,20.72%,22.78%,22.68%,24.45%,27.24%,24.38%,28.47%,37.17%,35.51%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.46%,5.39%,8.65%,15.43%,40.94%,40.94%,5.39%
,,,,,,OPM,24.09%,27.45%,29.20%,31.23%,35.51%,35.51%,24.09%
,,,,,,Price to Earning, 14.46 , 16.49 , 17.41 , 17.60 , 22.01 , 22.01 , 14.46 
