Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 1,884.37 "," 2,110.26 "," 2,208.49 "," 2,355.96 "," 2,532.19 "," 2,753.99 "," 2,881.72 "," 3,371.18 "," 3,256.01 "," 2,823.09 "," 3,471.22 "," 3,471.22 "," 2,799.39 "
Expenses," 1,509.54 "," 1,693.44 "," 1,779.91 "," 1,833.58 "," 1,903.90 "," 2,067.05 "," 2,267.90 "," 2,601.00 "," 2,517.80 "," 2,195.24 "," 2,681.48 "," 2,681.48 "," 2,178.29 "
Operating Profit, 374.83 , 416.82 , 428.58 , 522.38 , 628.29 , 686.94 , 613.82 , 770.18 , 738.21 , 627.85 , 789.74 , 789.74 , 621.09 
Other Income, 11.26 , -34.26 , -25.20 , -15.28 , -6.03 , 34.45 , 35.35 , 13.54 , 14.95 , 17.95 , 43.16 , -   , -   
Depreciation, 80.85 , 81.97 , 81.57 , 84.45 , 81.74 , 85.69 , 109.53 , 116.29 , 130.51 , 133.19 , 125.90 , 125.90 , 125.90 
Interest, 186.59 , 160.54 , 171.56 , 164.71 , 162.82 , 133.77 , 124.16 , 126.32 , 118.18 , 90.21 , 65.28 , 65.28 , 65.28 
Profit before tax, 118.65 , 140.05 , 150.25 , 257.94 , 377.70 , 501.93 , 415.48 , 541.11 , 504.47 , 422.40 , 641.72 , 598.56 , 429.91 
Tax, 1.17 , 25.12 , 33.97 , 74.92 , 121.07 , 115.16 , 50.97 , 180.08 , 97.97 , 112.42 , 163.39 ,25%,25%
Net profit, 117.48 , 114.93 , 116.29 , 183.02 , 256.63 , 386.77 , 364.51 , 361.03 , 406.50 , 309.98 , 478.33 , 446.16 , 320.45 
EPS, 11.75 , 11.49 , 11.63 , 18.30 , 25.66 , 38.72 , 37.42 , 36.84 , 42.79 , 32.63 , 50.14 , 46.77 , 33.59 
Price to earning, 2.89 , 3.13 , 2.93 , 3.36 , 4.49 , 6.86 , 6.91 , 6.68 , 2.08 , 7.03 , 11.16 , 11.16 , 5.23 
Price, 33.90 , 36.00 , 34.05 , 61.55 , 115.10 , 265.50 , 258.45 , 246.15 , 89.15 , 229.50 , 559.70 , 522.06 , 175.66 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,17.02%,17.40%,17.20%,12.02%,13.64%,12.86%,13.36%,13.58%,7.01%,16.86%,,,
OPM,19.89%,19.75%,19.41%,22.17%,24.81%,24.94%,21.30%,22.85%,22.67%,22.24%,22.75%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.59%,3.57%,2.20%,-0.68%,22.96%,22.96%,-0.68%
,,,,,,OPM,22.19%,22.97%,22.78%,22.61%,22.75%,22.75%,22.19%
,,,,,,Price to Earning, 5.23 , 6.07 , 6.79 , 6.74 , 11.16 , 11.16 , 5.23 
