Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 368.94 , 426.71 , 664.01 , 516.69 , 374.17 , 998.63 , 556.38 ," 1,433.75 "," 2,085.36 ", 570.42 , 776.60 , 776.60 , 553.75 
Expenses, 287.45 , 286.54 , 546.83 , 408.74 , 398.74 , 785.11 , 681.54 ," 1,343.95 "," 1,700.40 ", 907.25 ," 1,011.48 ", 686.44 , 553.75 
Operating Profit, 81.49 , 140.17 , 117.18 , 107.95 , -24.57 , 213.52 , -125.16 , 89.80 , 384.96 , -336.83 , -234.88 , 90.16 , -   
Other Income, 94.92 , 62.79 , 102.52 , 202.01 , 222.12 , 222.40 , 493.61 , 460.25 , 519.96 , 671.00 , 833.94 , -   , -   
Depreciation, 3.18 , 3.54 , 4.95 , 8.70 , 13.57 , 13.18 , 14.53 , 13.12 , 16.67 , 16.21 , 17.45 , 17.45 , 17.45 
Interest, 68.84 , 59.82 , 118.54 , 157.54 , 152.23 , 156.66 , 191.95 , 251.95 , 266.20 , 234.52 , 218.67 , 218.67 , 218.67 
Profit before tax, 104.39 , 139.60 , 96.21 , 143.72 , 31.75 , 266.08 , 161.97 , 284.98 , 622.05 , 83.44 , 362.94 , -145.96 , -236.12 
Tax, 23.03 , 16.93 , -1.44 , 15.80 , 9.02 , 69.57 , 56.93 , 75.63 , 237.89 , 126.25 , 157.25 ,43%,43%
Net profit, 81.36 , 122.67 , 97.65 , 127.92 , 22.73 , 196.51 , 105.04 , 209.35 , 384.16 , -42.81 , 205.69 , -82.72 , -133.82 
EPS, 4.08 , 6.16 , 4.90 , 6.42 , 1.05 , 9.08 , 4.85 , 9.13 , 15.24 , -1.54 , 7.40 , -2.98 , -4.81 
Price to earning, 69.79 , 39.84 , 43.62 , 39.15 , 281.53 , 42.40 , 149.00 , 89.06 , 39.57 , -913.19 , 225.97 , 225.97 , 101.99 
Price, 285.05 , 245.32 , 213.85 , 251.15 , 295.85 , 385.05 , 722.90 , 813.15 , 603.25 ," 1,406.75 "," 1,672.05 ", -672.45 , -490.99 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,28.77%,25.45%,40.60%,31.17%,209.33%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,22.09%,32.85%,17.65%,20.89%,0.00%,21.38%,0.00%,6.26%,18.46%,0.00%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.96%,-2.15%,8.80%,0.83%,36.15%,36.15%,-2.15%
,,,,,,OPM,14.20%,12.18%,12.19%,11.61%,0.00%,11.61%,0.00%
,,,,,,Price to Earning, 101.99 , 123.81 , 109.20 , 118.20 , 225.97 , 225.97 , 101.99 
