Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 562.68 , 676.81 , 989.71 ," 1,212.91 "," 1,327.73 "," 1,349.48 "," 1,646.64 "," 2,098.43 "," 2,309.93 "," 3,134.98 "," 3,107.14 "," 4,254.72 "," 3,691.31 "
Expenses, 490.10 , 597.66 , 826.50 ," 1,001.05 "," 1,057.61 "," 1,053.69 "," 1,353.11 "," 1,765.78 "," 1,815.56 "," 2,273.24 "," 2,448.75 "," 3,302.20 "," 2,949.88 "
Operating Profit, 72.58 , 79.15 , 163.21 , 211.86 , 270.12 , 295.79 , 293.53 , 332.65 , 494.37 , 861.74 , 658.39 , 952.52 , 741.43 
Other Income, 1.23 , 1.62 , 3.45 , 0.89 , 6.14 , 14.52 , 23.77 , 28.19 , 187.34 , 13.35 , 19.49 , -   , -   
Depreciation, 17.98 , 20.21 , 26.40 , 49.56 , 58.25 , 71.35 , 75.92 , 90.77 , 101.82 , 118.45 , 125.00 , 125.00 , 125.00 
Interest, 15.49 , 16.49 , 18.93 , 30.93 , 37.05 , 32.16 , 32.93 , 28.36 , 26.86 , 23.77 , 18.10 , 18.10 , 18.10 
Profit before tax, 40.34 , 44.07 , 121.33 , 132.26 , 180.96 , 206.80 , 208.45 , 241.71 , 553.03 , 732.87 , 534.78 , 809.42 , 598.33 
Tax, 13.03 , 13.90 , 40.32 , 37.04 , 60.17 , 63.98 , 69.29 , 79.86 , 108.96 , 180.09 , 135.28 ,25%,25%
Net profit, 27.31 , 30.18 , 81.01 , 95.23 , 120.78 , 142.83 , 139.16 , 161.84 , 444.07 , 552.78 , 399.53 , 604.67 , 446.98 
EPS, 1.36 , 1.50 , 3.99 , 4.66 , 5.57 , 6.25 , 5.48 , 6.37 , 17.47 , 22.32 , 16.11 , 24.38 , 18.02 
Price to earning, 5.98 , 6.33 , 6.39 , 18.27 , 21.52 , 22.23 , 18.83 , 17.98 , 8.22 , 13.60 , 19.60 , 19.60 , 14.45 
Price, 8.14 , 9.49 , 25.52 , 85.15 , 119.95 , 138.85 , 103.25 , 114.45 , 143.65 , 303.45 , 315.70 , 477.80 , 260.38 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,14.68%,13.35%,8.76%,10.73%,11.67%,14.41%,18.24%,15.71%,5.72%,6.72%,,,
OPM,12.90%,11.69%,16.49%,17.47%,20.34%,21.92%,17.83%,15.85%,21.40%,27.49%,21.19%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,21.03%,17.91%,18.75%,23.94%,35.72%,35.72%,17.91%
,,,,,,OPM,20.09%,21.10%,21.61%,22.39%,21.19%,22.39%,20.09%
,,,,,,Price to Earning, 14.45 , 17.53 , 16.74 , 14.85 , 19.60 , 19.60 , 14.45 
