Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 514.44 , 654.31 , 980.10 ," 1,023.61 "," 1,102.96 "," 1,307.40 ", 544.54 , 527.63 , 567.69 , 615.56 , 621.77 , 667.47 , 547.10 
Expenses, 446.83 , 485.39 , 799.68 , 879.59 , 925.04 ," 1,067.77 ", 319.35 , 329.64 , 428.44 , 403.76 , 429.50 , 453.27 , 424.76 
Operating Profit, 67.61 , 168.92 , 180.42 , 144.02 , 177.92 , 239.63 , 225.19 , 197.99 , 139.25 , 211.80 , 192.27 , 214.20 , 122.34 
Other Income, 24.81 , -0.35 , -10.26 , 14.75 , -21.71 , 17.57 , 28.09 , -34.17 , 238.35 , 122.33 , 53.58 , -   , -   
Depreciation, 103.14 , 118.91 , 202.29 , 226.98 , 254.49 , 300.76 , 97.19 , 115.92 , 152.19 , 170.39 , 179.57 , 179.57 , 179.57 
Interest, 40.95 , 46.46 , 93.12 , 107.01 , 90.05 , 111.06 , 78.43 , 104.97 , 117.72 , 20.14 , 0.04 , 0.04 , 0.04 
Profit before tax, -51.67 , 3.20 , -125.25 , -175.22 , -188.33 , -154.62 , 77.66 , -57.07 , 107.69 , 143.60 , 66.24 , 34.59 , -57.27 
Tax, -   , -   , -   , -   , -   , -   , -   , -267.67 , 91.05 , 32.45 , 8.65 ,13%,13%
Net profit, -51.67 , 3.20 , -125.25 , -175.22 , -188.33 , -154.62 , 77.66 , 210.60 , 16.64 , 111.15 , 57.59 , 30.07 , -49.79 
EPS, -0.72 , 0.04 , -1.65 , -2.11 , -2.27 , -1.86 , 0.94 , 1.19 , 0.09 , 0.63 , 0.33 , 0.17 , -0.28 
Price to earning, -45.61 ," 1,203.16 ", -29.41 , -23.22 , -17.09 , -20.25 , 36.20 , 24.33 , 143.08 , 40.93 , 57.48 , 66.45 , 57.48 
Price, 32.99 , 53.78 , 48.47 , 49.00 , 38.75 , 37.70 , 33.85 , 28.95 , 13.45 , 25.70 , 18.75 , 11.32 , -16.21 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,13.14%,25.82%,18.41%,14.07%,16.13%,18.33%,41.35%,37.52%,24.53%,34.41%,30.92%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.01%,-6.43%,-11.01%,4.17%,8.43%,8.43%,-11.01%
,,,,,,OPM,22.36%,23.48%,28.46%,32.09%,30.92%,32.09%,22.36%
,,,,,,Price to Earning, 250.86 , 60.40 , 60.40 , 66.45 , 57.48 , 66.45 , 57.48 
