Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,575.00 "," 4,169.31 "," 4,660.96 "," 5,171.41 "," 5,359.47 "," 6,109.74 "," 8,138.57 "," 10,067.71 "," 9,429.20 "," 10,427.92 "," 12,802.67 ",#VALUE!,#VALUE!
Expenses," 3,107.22 "," 3,630.35 "," 3,989.56 "," 4,445.13 "," 4,371.38 "," 5,284.15 "," 7,087.27 "," 8,840.26 "," 8,363.61 "," 8,845.33 "," 11,059.94 ",#VALUE!,#VALUE!
Operating Profit, 467.78 , 538.96 , 671.40 , 726.28 , 988.09 , 825.59 ," 1,051.30 "," 1,227.45 "," 1,065.59 "," 1,582.59 "," 1,742.73 ",#VALUE!,#VALUE!
Other Income, -4.92 , 4.65 , 38.03 , 50.65 , 68.00 , 75.02 , 126.89 , 123.14 , 105.25 , 187.82 , 153.47 , -   , -   
Depreciation, 44.66 , 57.88 , 63.63 , 87.51 , 104.91 , 119.63 , 139.52 , 149.36 , 217.91 , 248.86 , 255.10 , 255.10 , 255.10 
Interest, 44.39 , 28.55 , 50.70 , 43.17 , 42.15 , 12.15 , 23.97 , 55.13 , 51.20 , 89.97 , 57.86 , 57.86 , 57.86 
Profit before tax, 373.81 , 457.18 , 595.10 , 646.25 , 909.03 , 768.83 ," 1,014.70 "," 1,146.10 ", 901.73 ," 1,431.58 "," 1,583.24 ",#VALUE!,#VALUE!
Tax, 68.38 , 85.79 , 116.41 , 181.31 , 197.00 , 229.79 , 302.18 , 358.76 , 168.70 , 391.94 , 439.19 ,28%,28%
Net profit, 305.43 , 371.39 , 478.69 , 464.94 , 712.03 , 539.04 , 712.52 , 787.34 , 733.03 ," 1,039.64 "," 1,144.05 ",#VALUE!,#VALUE!
EPS, 4.90 , 5.95 , 7.67 , 7.44 , 11.40 , 8.63 , 11.40 , 12.59 , 11.71 , 16.61 , 18.26 ,#VALUE!,#VALUE!
Price to earning, 23.37 , 21.63 , 24.35 , 41.00 , 28.19 , 53.99 , 42.80 , 61.37 , 41.02 , 63.25 , 68.92 ,#REF!,#REF!
Price, 114.42 , 128.76 , 186.78 , 305.25 , 321.35 , 465.75 , 487.85 , 772.50 , 480.45 ," 1,050.40 "," 1,258.65 ",#VALUE!,#VALUE!
