Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 17,332.77 "," 21,112.50 "," 24,143.07 "," 27,401.16 "," 30,905.12 "," 33,112.79 "," 40,689.22 "," 43,348.04 "," 58,738.92 "," 48,149.74 "," 47,354.18 "," 50,929.04 "," 47,367.32 "
Expenses, 511.34 , 660.30 , 696.19 , 841.85 ," 1,419.68 "," 1,480.80 "," 3,970.63 "," 2,355.04 "," 7,263.32 "," 4,587.23 "," 4,154.17 "," 4,467.78 "," 4,478.80 "
Operating Profit," 16,821.43 "," 20,452.20 "," 23,446.88 "," 26,559.31 "," 29,485.44 "," 31,631.99 "," 36,718.59 "," 40,993.00 "," 51,475.60 "," 43,562.51 "," 43,200.01 "," 46,461.26 "," 42,888.52 "
Other Income, 21.51 , 35.12 , 54.60 , 69.70 , 51.45 , 46.81 , 18.27 , 29.97 , 24.42 , 26.12 , 35.09 , -   , -   
Depreciation, 20.54 , 23.59 , 31.87 , 29.78 , 54.28 , 55.96 , 49.24 , 66.53 , 147.74 , 158.78 , 152.95 , 152.95 , 152.95 
Interest," 11,156.78 "," 13,890.89 "," 16,029.37 "," 17,975.09 "," 19,374.51 "," 20,896.20 "," 23,497.98 "," 27,837.67 "," 31,001.36 "," 28,614.76 "," 26,534.39 "," 26,534.39 "," 26,534.39 "
Profit before tax," 5,665.62 "," 6,572.84 "," 7,440.24 "," 8,624.14 "," 10,108.10 "," 10,726.64 "," 13,189.64 "," 13,118.77 "," 20,350.92 "," 14,815.09 "," 16,547.76 "," 19,773.92 "," 16,201.18 "
Tax," 1,543.00 "," 1,724.50 "," 2,000.00 "," 2,634.00 "," 3,015.00 "," 3,284.00 "," 2,230.30 "," 3,486.31 "," 2,581.27 "," 2,787.79 "," 3,326.07 ",20%,20%
Net profit," 4,122.62 "," 4,848.34 "," 5,440.24 "," 5,990.14 "," 7,093.10 "," 7,442.64 "," 10,959.34 "," 9,632.46 "," 17,769.65 "," 12,027.30 "," 13,221.69 "," 15,799.40 "," 12,944.77 "
EPS, 27.91 , 31.35 , 34.86 , 38.04 , 44.90 , 46.85 , 65.39 , 55.96 , 102.59 , 66.67 , 72.89 , 87.11 , 71.37 
Price to earning, 24.12 , 26.35 , 25.35 , 34.59 , 24.62 , 32.06 , 27.92 , 35.17 , 15.92 , 37.47 , 35.99 , 35.99 , 29.05 
Price, 673.30 , 826.25 , 883.90 ," 1,315.70 "," 1,105.60 "," 1,502.10 "," 1,825.60 "," 1,968.25 "," 1,633.10 "," 2,498.10 "," 2,623.70 "," 3,135.22 "," 2,073.40 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,39.41%,39.87%,40.16%,39.43%,37.86%,38.42%,30.58%,37.53%,20.47%,34.50%,,,
OPM,97.05%,96.87%,97.12%,96.93%,95.41%,95.53%,90.24%,94.57%,87.63%,90.47%,91.23%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,12.02%,10.36%,9.27%,5.77%,-1.65%,5.77%,-1.65%
,,,,,,OPM,93.10%,92.24%,91.23%,90.54%,91.23%,91.23%,90.54%
,,,,,,Price to Earning, 29.05 , 30.47 , 30.76 , 31.14 , 35.99 , 35.99 , 29.05 
