Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 260.71 , 605.35 ," 2,018.78 "," 2,551.08 "," 2,858.37 "," 2,015.95 "," 3,066.09 "," 4,366.20 "," 3,547.30 "," 4,105.87 "," 4,497.42 "," 4,752.39 "," 4,443.72 "
Expenses, 222.30 , 522.62 ," 1,830.90 "," 2,256.61 "," 2,538.51 "," 1,835.16 "," 2,801.82 "," 4,025.80 "," 3,120.08 "," 3,637.25 "," 3,906.11 "," 4,127.56 "," 4,006.84 "
Operating Profit, 38.41 , 82.73 , 187.88 , 294.47 , 319.86 , 180.79 , 264.27 , 340.40 , 427.22 , 468.62 , 591.31 , 624.83 , 436.88 
Other Income, 21.63 , 15.97 , 12.62 , -27.91 , -86.09 , 18.57 , 16.54 , 45.80 , 20.94 , 29.09 , 17.21 , -   , -   
Depreciation, 15.07 , 16.68 , 19.85 , 33.93 , 24.90 , 15.70 , 16.26 , 17.52 , 30.14 , 53.59 , 54.31 , 54.31 , 54.31 
Interest, 33.50 , 27.18 , 33.14 , 42.70 , 58.42 , 59.94 , 60.91 , 77.94 , 90.10 , 148.25 , 146.29 , 146.29 , 146.29 
Profit before tax, 11.47 , 54.84 , 147.51 , 189.93 , 150.45 , 123.72 , 203.64 , 290.74 , 327.92 , 295.87 , 407.92 , 424.23 , 236.28 
Tax, 0.05 , 0.04 , 0.03 , 0.02 , -   , -   , 48.61 , 106.71 , 124.10 , 73.01 , 104.58 ,26%,26%
Net profit, 11.42 , 54.80 , 147.48 , 189.91 , 150.45 , 123.72 , 155.03 , 184.03 , 203.82 , 222.86 , 303.34 , 315.47 , 175.70 
EPS, 0.09 , 0.44 , 1.19 , 1.53 , 1.21 , 1.00 , 1.25 , 1.44 , 1.59 , 1.74 , 2.20 , 2.29 , 1.28 
Price to earning, 127.52 , 18.55 , 6.89 , 8.71 , 13.35 , 12.77 , 20.67 , 15.62 , 5.70 , 14.49 , 37.37 , 37.37 , 16.09 
Price, 11.75 , 8.20 , 8.20 , 13.35 , 16.20 , 12.75 , 25.85 , 22.55 , 9.05 , 25.15 , 82.30 , 85.59 , 20.52 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.80%,6.92%,0.00%,8.65%,,,
OPM,14.73%,13.67%,9.31%,11.54%,11.19%,8.97%,8.62%,7.80%,12.04%,11.41%,13.15%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,35.84%,10.67%,7.51%,10.22%,15.75%,15.75%,7.51%
,,,,,,OPM,10.26%,10.20%,9.83%,10.29%,13.15%,13.15%,9.83%
,,,,,,Price to Earning, 25.60 , 16.09 , 17.77 , 18.30 , 37.37 , 37.37 , 16.09 
