Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 1,78,335.82 "," 2,06,722.22 "," 2,23,351.53 "," 2,06,626.18 "," 1,77,700.63 "," 1,87,090.54 "," 2,19,332.83 "," 2,75,214.67 "," 2,68,766.41 "," 2,32,996.81 "," 3,26,953.61 "," 3,26,953.61 "," 2,34,977.49 "
Expenses," 1,74,098.86 "," 2,03,019.17 "," 2,18,103.52 "," 2,01,530.55 "," 1,69,706.03 "," 1,76,440.31 "," 2,08,579.99 "," 2,63,812.47 "," 2,63,642.95 "," 2,17,020.07 "," 3,14,210.00 "," 3,13,276.55 "," 2,26,319.32 "
Operating Profit," 4,236.96 "," 3,703.05 "," 5,248.01 "," 5,095.63 "," 7,994.60 "," 10,650.23 "," 10,752.84 "," 11,402.20 "," 5,123.46 "," 15,976.74 "," 12,743.61 "," 13,677.06 "," 8,658.17 "
Other Income, 919.48 ," 1,167.83 ", 905.80 ," 1,743.84 "," 1,088.85 "," 1,441.54 "," 1,768.55 "," 1,675.01 ", 835.24 ," 2,737.43 "," 1,916.38 ", -   , -   
Depreciation," 1,712.93 "," 1,983.52 "," 2,201.94 "," 1,978.76 "," 2,653.21 "," 2,535.28 "," 2,752.75 "," 3,012.61 "," 3,304.39 "," 3,552.65 "," 3,823.05 "," 3,823.05 "," 3,823.05 "
Interest," 2,224.27 "," 1,412.80 "," 1,336.36 ", 706.59 , 653.60 , 535.65 , 566.71 , 725.94 ," 1,081.72 ", 914.73 , 849.68 , 849.68 , 849.68 
Profit before tax," 1,219.24 "," 1,474.56 "," 2,615.51 "," 4,154.12 "," 5,776.64 "," 9,020.84 "," 9,201.93 "," 9,338.66 "," 1,572.59 "," 14,246.79 "," 9,987.26 "," 9,004.33 "," 3,985.44 "
Tax, 307.81 , 569.85 , 881.74 ," 1,420.86 "," 2,050.48 "," 2,812.04 "," 2,844.86 "," 3,310.00 "," -1,064.67 "," 3,582.91 "," 2,381.93 ",24%,24%
Net profit, 911.43 , 904.71 ," 1,733.77 "," 2,733.26 "," 3,726.16 "," 6,208.80 "," 6,357.07 "," 6,028.66 "," 2,637.26 "," 10,663.88 "," 7,605.33 "," 6,856.83 "," 3,034.92 "
EPS, 5.98 , 5.94 , 11.38 , 17.94 , 24.45 , 40.75 , 41.72 , 39.56 , 17.31 , 73.25 , 53.63 , 48.35 , 21.40 
Price to earning, 11.28 , 10.67 , 6.05 , 8.05 , 7.16 , 8.60 , 8.27 , 7.17 , 10.98 , 3.20 , 5.26 , 6.65 , 5.26 
Price, 67.47 , 63.38 , 68.84 , 144.40 , 175.06 , 350.43 , 344.85 , 283.85 , 190.10 , 234.50 , 282.10 , 321.79 , 112.57 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,31.62%,31.85%,30.31%,30.39%,31.39%,49.10%,40.76%,40.20%,56.35%,30.99%,,,
OPM,2.38%,1.79%,2.35%,2.47%,4.50%,5.69%,4.90%,4.14%,1.91%,6.86%,3.90%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,3.02%,0.61%,5.57%,2.03%,40.33%,40.33%,0.61%
,,,,,,OPM,3.68%,4.27%,4.56%,4.18%,3.90%,4.18%,3.68%
,,,,,,Price to Earning, 7.88 , 7.34 , 7.25 , 6.65 , 5.26 , 6.65 , 5.26 
