Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 22,116.37 "," 25,810.21 "," 28,019.13 "," 30,805.62 "," 31,061.00 "," 31,890.00 "," 34,525.00 "," 38,224.00 "," 38,785.00 "," 45,996.00 "," 49,863.00 "," 54,547.69 "," 49,654.79 "
Expenses," 18,809.30 "," 21,795.62 "," 23,531.62 "," 25,600.17 "," 25,312.00 "," 25,843.00 "," 27,249.00 "," 29,587.00 "," 29,185.00 "," 34,672.00 "," 37,648.00 "," 41,185.07 "," 39,693.31 "
Operating Profit," 3,307.07 "," 4,014.59 "," 4,487.51 "," 5,205.45 "," 5,749.00 "," 6,047.00 "," 7,276.00 "," 8,637.00 "," 9,600.00 "," 11,324.00 "," 12,215.00 "," 13,362.61 "," 9,961.48 "
Other Income, 381.45 ," 1,204.46 ", 837.46 ," 1,285.48 ", 533.00 , 767.00 , 507.00 , 437.00 , 536.00 , 286.00 , 302.00 , -   , -   
Depreciation, 218.25 , 236.02 , 260.55 , 286.69 , 321.00 , 396.00 , 478.00 , 524.00 , 938.00 ," 1,012.00 "," 1,013.00 "," 1,013.00 "," 1,013.00 "
Interest, 1.24 , 25.15 , 36.03 , 16.82 , 15.00 , 22.00 , 20.00 , 28.00 , 106.00 , 108.00 , 71.00 , 71.00 , 71.00 
Profit before tax," 3,469.03 "," 4,957.88 "," 5,028.39 "," 6,187.42 "," 5,946.00 "," 6,396.00 "," 7,285.00 "," 8,522.00 "," 9,092.00 "," 10,490.00 "," 11,433.00 "," 12,278.61 "," 8,877.48 "
Tax, 777.63 ," 1,161.21 "," 1,160.90 "," 1,872.16 "," 1,809.00 "," 1,906.00 "," 2,048.00 "," 2,486.00 "," 2,354.00 "," 2,536.00 "," 2,799.00 ",24%,24%
Net profit," 2,691.40 "," 3,796.67 "," 3,867.49 "," 4,315.26 "," 4,137.00 "," 4,490.00 "," 5,237.00 "," 6,036.00 "," 6,738.00 "," 7,954.00 "," 8,634.00 "," 9,272.59 "," 6,704.12 "
EPS, 12.45 , 17.56 , 17.88 , 19.95 , 19.12 , 20.75 , 24.19 , 27.88 , 31.13 , 33.85 , 36.72 , 39.44 , 28.51 
Price to earning, 32.93 , 26.60 , 33.86 , 43.80 , 45.48 , 43.95 , 55.11 , 61.21 , 73.85 , 71.83 , 58.27 , 66.29 , 49.72 
Price, 410.05 , 466.95 , 605.55 , 873.55 , 869.50 , 911.75 ," 1,333.35 "," 1,706.80 "," 2,298.50 "," 2,431.50 "," 2,139.80 "," 2,614.33 "," 1,417.62 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,60.23%,105.37%,72.70%,75.20%,83.54%,81.78%,82.49%,78.73%,80.14%,119.66%,,,
OPM,14.95%,15.55%,16.02%,16.90%,18.51%,18.96%,21.07%,22.60%,24.75%,24.62%,24.50%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.48%,7.34%,8.17%,10.03%,18.59%,18.59%,7.34%
,,,,,,OPM,20.06%,21.43%,22.64%,24.03%,24.50%,24.50%,20.06%
,,,,,,Price to Earning, 49.72 , 56.69 , 60.70 , 66.29 , 58.27 , 66.29 , 49.72 
