Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 6,183.45 "," 7,774.19 "," 8,219.97 ", 99.56 , 225.88 , 159.22 , 222.71 , 157.94 , 152.57 , 7.72 , 57.51 , 57.51 , -31.04 
Expenses, 508.14 , 615.51 , 842.49 , 32.06 ," 1,360.51 ", 72.31 , 29.91 , 55.78 , 72.57 , 16.67 , 19.05 , 19.05 , -15.02 
Operating Profit," 5,675.31 "," 7,158.68 "," 7,377.48 ", 67.50 ," -1,134.63 ", 86.91 , 192.80 , 102.16 , 80.00 , -8.95 , 38.46 , 38.46 , -16.02 
Other Income, 12.56 , 1.94 , 11.96 ," 1,618.49 ", -   , -   , 19.57 , 11.25 , 11.53 , 18.63 , 23.12 , -   , -   
Depreciation, 31.28 , 27.45 , 24.29 , -31.65 , 4.96 , 5.25 , 5.24 , 5.17 , 13.80 , 1.51 , 0.10 , 0.10 , 0.10 
Interest," 3,455.23 "," 4,665.19 "," 5,006.96 ", -   , -   , 2.73 , 0.30 , -   , 0.85 , 2.59 , 3.52 , 3.52 , 3.52 
Profit before tax," 2,201.36 "," 2,467.98 "," 2,358.19 "," 1,717.64 "," -1,139.59 ", 78.93 , 206.83 , 108.24 , 76.88 , 5.58 , 57.96 , 34.84 , -19.64 
Tax, 598.40 , 703.00 , 657.07 , 32.15 , 22.55 , 23.18 , 22.83 , -19.65 , 12.70 , -3.40 , 13.43 ,23%,23%
Net profit," 1,602.96 "," 1,764.98 "," 1,701.12 "," 1,685.49 "," -1,162.14 ", 55.75 , 184.00 , 127.89 , 64.18 , 8.98 , 44.53 , 26.77 , -15.09 
EPS, 10.60 , 11.65 , 11.22 , 10.58 , -7.29 , 0.35 , 1.15 , 0.80 , 0.40 , 0.06 , 0.28 , 0.17 , -0.09 
Price to earning, 6.08 , 5.88 , 5.20 , 7.53 , -5.55 , 156.01 , 42.30 , 58.11 , 36.94 , 841.75 , 235.90 , 293.17 , 139.57 
Price, 64.41 , 68.52 , 58.33 , 79.66 , 40.45 , 54.50 , 48.75 , 46.55 , 14.85 , 47.35 , 65.90 , 49.23 , -13.21 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,21.70%,22.31%,23.18%,24.57%,0.00%,71.57%,65.07%,0.00%,783.50%,0.00%,,,
OPM,91.78%,92.08%,89.75%,67.80%,0.00%,54.58%,86.57%,64.68%,52.43%,0.00%,66.88%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-52.43%,-63.06%,-49.10%,-67.39%,644.95%,644.95%,-67.39%
,,,,,,OPM,89.39%,51.62%,65.97%,57.24%,66.88%,66.88%,51.62%
,,,,,,Price to Earning, 139.57 , 196.93 , 228.50 , 293.17 , 235.90 , 293.17 , 139.57 
