Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 31,254.00 "," 36,765.00 "," 44,341.00 "," 47,300.00 "," 53,983.00 "," 59,289.00 "," 61,941.00 "," 73,107.00 "," 79,047.00 "," 85,912.00 "," 99,010.00 "," 99,010.00 "," 95,554.17 "
Expenses," 21,769.00 "," 25,747.00 "," 31,808.00 "," 33,330.00 "," 38,274.00 "," 42,082.00 "," 44,644.00 "," 54,433.00 "," 59,012.00 "," 61,455.00 "," 72,008.00 "," 72,008.00 "," 70,200.81 "
Operating Profit," 9,485.00 "," 11,018.00 "," 12,533.00 "," 13,970.00 "," 15,709.00 "," 17,207.00 "," 17,297.00 "," 18,674.00 "," 20,035.00 "," 24,457.00 "," 27,002.00 "," 27,002.00 "," 25,353.37 "
Other Income," 2,985.00 "," 2,298.00 "," 2,576.00 "," 3,749.00 "," 3,006.00 "," 3,062.00 "," 4,019.00 "," 2,852.00 "," 2,700.00 "," 2,467.00 "," 3,139.00 ", -   , -   
Depreciation, 794.00 , 956.00 ," 1,101.00 ", 913.00 ," 1,115.00 "," 1,331.00 "," 1,408.00 "," 1,599.00 "," 2,144.00 "," 2,321.00 "," 2,386.00 "," 2,386.00 "," 2,386.00 "
Interest, 2.00 , 3.00 , 6.00 , 8.00 , -   , -   , -   , -   , 114.00 , 126.00 , 130.00 , 130.00 , 130.00 
Profit before tax," 11,674.00 "," 12,357.00 "," 14,002.00 "," 16,798.00 "," 17,600.00 "," 18,938.00 "," 19,908.00 "," 19,927.00 "," 20,477.00 "," 24,477.00 "," 27,625.00 "," 24,486.00 "," 22,837.37 "
Tax," 3,204.00 "," 3,241.00 "," 3,808.00 "," 4,634.00 "," 4,907.00 "," 5,120.00 "," 3,753.00 "," 5,225.00 "," 4,934.00 "," 6,429.00 "," 7,110.00 ",26%,26%
Net profit," 8,470.00 "," 9,116.00 "," 10,194.00 "," 12,164.00 "," 12,693.00 "," 13,818.00 "," 16,155.00 "," 14,702.00 "," 15,543.00 "," 18,048.00 "," 20,515.00 "," 18,183.90 "," 16,959.59 "
EPS, 18.44 , 19.84 , 22.30 , 26.48 , 27.63 , 30.08 , 36.98 , 33.65 , 36.49 , 42.36 , 48.75 , 43.21 , 40.30 
Price to earning, 19.43 , 18.20 , 18.40 , 20.94 , 22.05 , 16.99 , 15.30 , 22.10 , 17.58 , 32.30 , 38.17 , 38.17 , 21.95 
Price, 358.29 , 361.17 , 410.35 , 554.59 , 609.15 , 511.13 , 565.90 , 743.85 , 641.50 ," 1,368.05 "," 1,861.10 "," 1,649.63 ", 884.77 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,31.85%,26.45%,35.35%,56.15%,43.87%,42.79%,58.81%,63.70%,47.94%,63.73%,,,
OPM,30.35%,29.97%,28.27%,29.53%,29.10%,29.02%,27.92%,25.54%,25.35%,28.47%,27.27%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.89%,9.91%,9.74%,11.52%,15.25%,15.25%,9.74%
,,,,,,OPM,27.99%,27.65%,27.18%,26.53%,27.27%,27.27%,26.53%
,,,,,,Price to Earning, 21.95 , 23.18 , 23.74 , 27.54 , 38.17 , 38.17 , 21.95 
