Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 915.96 , 843.26 , 708.72 , 574.33 ," 1,251.55 "," 1,528.12 "," 1,475.14 "," 1,668.37 "," 2,058.87 "," 2,362.18 "," 1,985.55 "," 2,763.59 "," 2,582.58 "
Expenses," 1,212.24 "," 1,131.84 ", 952.57 , 784.66 ," 1,423.92 "," 1,632.74 "," 1,393.76 "," 1,768.74 "," 1,912.73 "," 2,310.91 "," 1,894.95 "," 2,637.48 "," 2,528.80 "
Operating Profit, -296.28 , -288.58 , -243.85 , -210.33 , -172.37 , -104.62 , 81.38 , -100.37 , 146.14 , 51.27 , 90.60 , 126.10 , 53.79 
Other Income, 33.03 , 209.64 , 39.12 , 85.78 , 593.61 , 540.58 , 327.45 , 336.47 , 183.89 , 161.37 , 93.78 , -   , -   
Depreciation, 21.30 , 18.32 , 17.22 , 15.32 , 12.90 , 16.94 , 24.86 , 37.09 , 41.89 , 41.85 , 46.03 , 46.03 , 46.03 
Interest, 85.25 , 84.80 , 122.31 , 157.25 , 157.15 , 152.62 , 153.41 , 106.47 , 140.66 , 159.59 , 173.37 , 173.37 , 173.37 
Profit before tax, -369.80 , -182.06 , -344.26 , -297.12 , 251.19 , 266.40 , 230.56 , 92.54 , 147.48 , 11.20 , -35.02 , -93.30 , -165.61 
Tax, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0%
Net profit, -369.80 , -182.06 , -344.26 , -297.13 , 251.19 , 266.39 , 230.56 , 92.54 , 147.48 , 11.20 , -35.02 , -93.30 , -165.61 
EPS, -12.84 , -6.32 , -11.95 , -10.32 , 8.72 , 4.76 , 3.03 , 1.03 , 1.59 , 0.12 , -0.38 , -1.00 , -1.77 
Price to earning, -1.85 , -2.53 , -1.33 , -1.95 , 2.76 , 14.98 , 37.33 , 92.86 , 39.36 , 958.09 , -   , 363.44 , -   
Price, 23.70 , 16.00 , 15.95 , 20.15 , 24.10 , 71.25 , 113.25 , 95.80 , 62.75 , 114.95 , 102.35 , -363.23 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.52%,0.00%,7.10%,2.17%,4.56%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,11.10%,18.77%,13.55%,16.99%,14.73%,16.99%,11.10%
,,,,,,OPM,2.08%,2.55%,3.07%,3.24%,4.56%,4.56%,2.08%
,,,,,,Price to Earning, 190.90 , 190.90 , 228.52 , 363.44 , -   , 363.44 , -   
