Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 967.43 , 840.22 , 715.92 , 979.22 ," 1,091.55 "," 1,081.54 "," 1,608.56 "," 2,045.53 "," 1,058.82 "," 1,052.71 "," 1,527.60 "," 1,527.60 ", 851.38 
Expenses, 893.46 , 781.64 , 706.93 , 917.55 , 981.48 , 933.90 ," 1,416.59 "," 1,811.40 ", 957.80 , 923.85 ," 1,329.89 "," 1,329.89 ", 768.27 
Operating Profit, 73.97 , 58.58 , 8.99 , 61.67 , 110.07 , 147.64 , 191.97 , 234.13 , 101.02 , 128.86 , 197.71 , 197.71 , 83.11 
Other Income, 25.38 , 25.44 , 49.84 , 24.32 , 40.95 , 42.32 , 40.55 , 38.00 , 21.75 , 14.82 , 8.93 , -   , -   
Depreciation, 31.60 , 28.20 , 24.85 , 29.29 , 43.88 , 46.39 , 39.41 , 44.11 , 38.80 , 33.99 , 34.54 , 34.54 , 34.54 
Interest, 16.00 , 22.29 , 20.70 , 16.88 , 13.65 , 12.57 , 18.11 , 24.70 , 15.42 , 7.04 , 2.32 , 2.32 , 2.32 
Profit before tax, 51.75 , 33.53 , 13.28 , 39.82 , 93.49 , 131.00 , 175.00 , 203.32 , 68.55 , 102.65 , 169.78 , 160.85 , 46.25 
Tax, 8.91 , 4.38 , -1.02 , 10.38 , 21.16 , 26.96 , 49.64 , 63.54 , 20.63 , 25.93 , 42.90 ,25%,25%
Net profit, 42.84 , 29.15 , 14.29 , 29.44 , 72.32 , 104.05 , 125.34 , 139.78 , 47.92 , 76.72 , 126.87 , 120.21 , 34.56 
EPS, 1.09 , 0.74 , 0.36 , 0.74 , 1.82 , 2.61 , 3.15 , 3.51 , 1.20 , 1.93 , 3.18 , 3.02 , 0.87 
Price to earning, 9.71 , 10.71 , 20.16 , 32.60 , 15.30 , 16.28 , 24.96 , 17.90 , 19.79 , 35.24 , 32.57 , 32.57 , 21.38 
Price, 10.55 , 7.90 , 7.29 , 24.21 , 27.84 , 42.53 , 78.50 , 62.80 , 23.80 , 67.85 , 103.65 , 98.21 , 18.54 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,32.19%,27.10%,27.64%,29.62%,30.21%,26.79%,27.01%,27.07%,33.24%,38.93%,,,
OPM,7.65%,6.97%,1.26%,6.30%,10.08%,13.65%,11.93%,11.45%,9.54%,12.24%,12.94%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,0.94%,5.66%,-0.72%,-13.18%,45.11%,45.11%,-13.18%
,,,,,,OPM,9.76%,10.94%,11.74%,11.16%,12.94%,12.94%,9.76%
,,,,,,Price to Earning, 21.38 , 24.33 , 24.46 , 26.38 , 32.57 , 32.57 , 21.38 
