Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 395.87 , 452.17 , 565.81 , 600.10 , 566.95 , 698.06 , 765.78 ," 2,206.96 "," 1,946.73 "," 1,965.59 "," 2,851.72 "," 2,851.72 "," 2,520.83 "
Expenses, 349.76 , 400.74 , 502.49 , 534.20 , 503.99 , 621.65 , 677.18 ," 1,949.05 "," 1,716.54 "," 1,763.94 "," 2,553.57 "," 2,530.28 "," 2,257.28 "
Operating Profit, 46.11 , 51.43 , 63.32 , 65.90 , 62.96 , 76.41 , 88.60 , 257.91 , 230.19 , 201.65 , 298.15 , 321.44 , 263.56 
Other Income, 1.42 , 6.94 , 6.48 , 10.41 , 11.22 , 25.84 , 10.81 , 24.66 , 15.41 , 12.60 , 23.04 , -   , -   
Depreciation, 11.33 , 11.83 , 14.36 , 15.91 , 21.01 , 23.08 , 25.04 , 74.83 , 73.85 , 75.56 , 83.99 , 83.99 , 83.99 
Interest, 24.78 , 25.95 , 21.54 , 21.22 , 28.41 , 30.22 , 27.00 , 59.40 , 64.27 , 56.64 , 72.32 , 72.32 , 72.32 
Profit before tax, 11.42 , 20.59 , 33.90 , 39.18 , 24.76 , 48.95 , 47.37 , 148.34 , 107.48 , 82.05 , 164.88 , 165.13 , 107.25 
Tax, 4.27 , 6.84 , 9.59 , 5.57 , 0.14 , 9.19 , 15.27 , 51.71 , 38.01 , 29.13 , 60.17 ,36%,36%
Net profit, 7.16 , 13.75 , 24.31 , 33.60 , 24.63 , 39.76 , 32.10 , 96.63 , 69.47 , 52.92 , 104.71 , 104.87 , 68.11 
EPS, 0.70 , 1.35 , 2.38 , 3.29 , 2.41 , 3.90 , 3.15 , 9.47 , 5.88 , 4.48 , 8.76 , 8.78 , 5.70 
Price to earning, 8.26 , 4.75 , 5.93 , 26.47 , 24.56 , 28.32 , 48.10 , 11.24 , 9.48 , 37.66 , 57.25 , 57.25 , 23.82 
Price, 5.80 , 6.40 , 14.14 , 87.20 , 59.30 , 110.38 , 151.38 , 106.50 , 55.72 , 168.62 , 501.80 , 502.56 , 135.80 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,21.37%,14.84%,12.59%,30.36%,28.99%,20.52%,25.42%,9.50%,11.92%,13.42%,,,
OPM,11.65%,11.37%,11.19%,10.98%,11.11%,10.95%,11.57%,11.69%,11.82%,10.26%,10.46%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,19.49%,19.47%,28.23%,36.92%,45.08%,45.08%,19.47%
,,,,,,OPM,11.26%,11.24%,11.27%,11.27%,10.46%,11.27%,10.46%
,,,,,,Price to Earning, 23.82 , 30.39 , 32.01 , 28.91 , 57.25 , 57.25 , 23.82 
