Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 13,333.95 "," 14,954.70 "," 13,826.29 "," 13,390.35 "," 13,770.26 "," 14,449.17 "," 17,654.47 "," 27,863.33 "," 26,323.62 "," 33,346.19 "," 46,030.42 "," 46,030.42 "," 38,281.34 "
Expenses," 9,266.13 "," 10,920.01 "," 9,843.57 "," 9,643.22 "," 11,329.18 "," 11,539.37 "," 13,680.46 "," 21,845.82 "," 20,536.85 "," 20,276.87 "," 28,936.68 "," 28,936.68 "," 28,386.00 "
Operating Profit," 4,067.82 "," 4,034.69 "," 3,982.72 "," 3,747.13 "," 2,441.08 "," 2,909.80 "," 3,974.01 "," 6,017.51 "," 5,786.77 "," 13,069.32 "," 17,093.74 "," 17,093.74 "," 9,895.33 "
Other Income, 327.27 , 304.62 , 379.46 , -349.83 , 23.47 , 0.85 , -344.98 ," -1,384.47 ", -9.46 , 479.89 , 726.71 , -   , -   
Depreciation, 867.19 ," 1,048.46 "," 1,221.44 "," 1,785.56 "," 2,148.14 "," 2,043.65 "," 1,909.66 "," 2,307.06 "," 2,287.08 "," 2,243.45 "," 2,229.18 "," 2,229.18 "," 2,229.18 "
Interest, 684.89 ," 1,062.35 "," 1,540.10 "," 2,251.15 "," 2,646.48 "," 2,323.98 "," 2,391.15 "," 2,895.76 "," 2,610.61 "," 2,186.54 "," 1,620.00 "," 1,620.00 "," 1,620.00 "
Profit before tax," 2,843.01 "," 2,228.50 "," 1,600.64 ", -639.41 ," -2,330.07 "," -1,456.98 ", -671.78 , -569.78 , 879.62 ," 9,119.22 "," 13,971.27 "," 13,244.56 "," 6,046.15 "
Tax, 732.36 , 635.95 , 308.69 , -328.73 , -911.54 , -470.53 , -310.17 , -306.88 , 261.95 ," 1,964.91 "," 3,459.57 ",25%,25%
Net profit," 2,110.65 "," 1,592.55 "," 1,291.95 ", -310.68 ," -1,418.53 ", -986.45 , -361.61 , -262.90 , 617.67 ," 7,154.31 "," 10,511.70 "," 9,964.94 "," 4,549.00 "
EPS, 22.58 , 17.04 , 14.12 , -3.40 , -15.50 , -10.78 , -3.74 , -2.72 , 6.06 , 70.14 , 103.08 , 97.71 , 44.61 
Price to earning, 24.14 , 20.41 , 20.71 , -46.17 , -3.89 , -11.22 , -58.65 , -66.16 , 13.57 , 4.90 , 5.30 , 7.92 , 5.30 
Price, 545.15 , 347.75 , 292.45 , 156.80 , 60.25 , 121.00 , 219.10 , 179.70 , 82.20 , 343.60 , 545.85 , 774.17 , 236.22 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,7.09%,9.39%,10.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,30.51%,26.98%,28.81%,27.98%,17.73%,20.14%,22.51%,21.60%,21.98%,39.19%,37.14%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,10.72%,13.40%,19.35%,23.61%,38.04%,38.04%,10.72%
,,,,,,OPM,26.48%,25.85%,26.54%,28.42%,37.14%,37.14%,25.85%
,,,,,,Price to Earning, 14.84 , 7.92 , 7.92 , 7.92 , 5.30 , 7.92 , 5.30 
