Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 2,070.31 "," 2,535.94 "," 2,654.26 "," 2,399.88 "," 2,400.71 "," 2,328.42 "," 2,755.64 "," 3,252.86 "," 3,713.03 "," 3,688.78 "," 5,141.98 "," 5,141.98 "," 3,936.32 "
Expenses," 1,916.18 "," 2,410.22 "," 2,510.89 "," 2,228.04 "," 2,177.78 "," 2,107.54 "," 2,458.68 "," 2,897.55 "," 3,358.86 "," 3,327.83 "," 4,945.05 "," 4,625.39 "," 3,785.57 "
Operating Profit, 154.13 , 125.72 , 143.37 , 171.84 , 222.93 , 220.88 , 296.96 , 355.31 , 354.17 , 360.95 , 196.93 , 516.59 , 150.76 
Other Income, 10.92 , 6.70 , 8.49 , 13.21 , 8.28 , 14.22 , 17.14 , 22.79 , 26.30 , 24.55 , -119.72 , -   , -   
Depreciation, 47.06 , 54.86 , 58.90 , 48.92 , 51.67 , 57.37 , 71.65 , 78.13 , 117.34 , 142.38 , 162.78 , 162.78 , 162.78 
Interest, 53.62 , 61.64 , 62.75 , 92.50 , 114.49 , 93.93 , 97.49 , 111.45 , 146.32 , 141.01 , 114.53 , 114.53 , 114.53 
Profit before tax, 64.37 , 15.92 , 30.21 , 43.63 , 65.05 , 83.80 , 144.96 , 188.52 , 116.81 , 102.11 , -200.10 , 239.28 , -126.55 
Tax, 12.43 , -2.41 , 7.24 , 13.78 , 21.68 , 25.55 , 38.83 , 46.39 , 37.85 , 31.00 , -45.64 ,0%,0%
Net profit, 51.94 , 18.33 , 22.97 , 29.86 , 43.37 , 58.26 , 106.13 , 142.13 , 78.96 , 71.11 , -154.46 , 239.28 , -126.55 
EPS, 3.09 , 1.09 , 1.37 , 1.78 , 2.58 , 3.47 , 6.32 , 8.47 , 4.70 , 4.24 , -9.20 , 14.25 , -7.54 
Price to earning, 6.69 , 13.87 , 12.50 , 19.77 , 16.94 , 15.31 , 17.42 , 14.14 , 7.34 , 17.73 , -   , 13.07 , -   
Price, 20.70 , 15.14 , 17.10 , 35.16 , 43.75 , 53.11 , 110.12 , 119.70 , 34.50 , 75.10 , 90.85 , 186.25 , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,10.05%,14.24%,11.36%,8.74%,7.75%,8.65%,9.49%,8.27%,14.88%,16.52%,,,
OPM,7.44%,4.96%,5.40%,7.16%,9.29%,9.49%,10.78%,10.92%,9.54%,9.79%,3.83%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.63%,4.81%,8.97%,10.21%,39.40%,39.40%,4.81%
,,,,,,OPM,8.66%,9.65%,10.09%,10.05%,3.83%,10.05%,3.83%
,,,,,,Price to Earning, 14.17 , 15.52 , 14.39 , 13.07 , -   , 13.07 , -   
