Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 1,198.15 "," 1,493.02 "," 1,959.75 "," 2,080.48 "," 1,961.27 "," 2,219.14 "," 2,511.52 "," 2,978.53 "," 2,898.07 "," 2,953.64 "," 3,766.86 ",#VALUE!,#VALUE!
Expenses," 1,021.13 "," 1,135.95 "," 1,607.43 "," 1,723.82 "," 1,605.12 "," 1,773.49 "," 2,082.48 "," 2,471.46 "," 2,423.54 "," 2,289.25 "," 2,832.22 ",#VALUE!,#VALUE!
Operating Profit, 177.02 , 357.07 , 352.32 , 356.66 , 356.15 , 445.65 , 429.04 , 507.07 , 474.53 , 664.39 , 934.64 ,#VALUE!,#VALUE!
Other Income, 6.74 , 6.05 , 29.52 , 21.77 , 34.07 , 27.12 , 15.98 , 37.37 , 36.46 , 37.96 , 85.61 , -   , -   
Depreciation, 103.62 , 141.81 , 129.82 , 125.87 , 123.84 , 117.43 , 104.97 , 95.83 , 98.91 , 97.92 , 77.43 , 77.43 , 77.43 
Interest, 47.04 , 80.08 , 72.34 , 64.50 , 44.42 , 45.03 , 30.49 , 35.86 , 35.41 , 19.61 , 15.69 , 15.69 , 15.69 
Profit before tax, 33.10 , 141.23 , 179.68 , 188.06 , 221.96 , 310.31 , 309.56 , 412.75 , 376.67 , 584.82 , 927.13 ,#VALUE!,#VALUE!
Tax, 1.87 , 40.47 , 49.12 , 42.08 , 65.82 , 71.89 , 84.59 , 123.64 , 82.06 , 152.20 , 236.76 ,26%,26%
Net profit, 31.23 , 100.76 , 130.56 , 145.98 , 156.14 , 238.42 , 224.97 , 289.11 , 294.61 , 432.62 , 690.37 ,#VALUE!,#VALUE!
EPS, 0.83 , 2.67 , 3.46 , 3.87 , 4.14 , 6.45 , 6.09 , 7.97 , 8.56 , 12.57 , 20.05 ,#VALUE!,#VALUE!
Price to earning, 10.30 , 3.89 , 3.52 , 12.26 , 20.08 , 20.46 , 20.78 , 14.46 , 7.90 , 16.96 , 33.00 ,#REF!,#REF!
Price, 8.54 , 10.40 , 12.18 , 47.51 , 83.22 , 131.99 , 126.51 , 115.21 , 67.63 , 213.29 , 661.50 ,#VALUE!,#VALUE!
