Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 976.16 , 808.75 ," 1,115.63 "," 1,226.40 "," 1,180.18 "," 1,257.42 "," 1,345.06 "," 1,406.58 "," 1,198.93 "," 1,187.99 "," 1,634.42 "," 1,634.42 "," 1,121.72 "
Expenses, 933.57 , 732.13 , 987.00 ," 1,058.90 ", 944.89 , 969.80 ," 1,141.80 "," 1,194.18 "," 1,003.62 ", 924.57 ," 1,288.66 "," 1,288.66 ", 947.98 
Operating Profit, 42.59 , 76.62 , 128.63 , 167.50 , 235.29 , 287.62 , 203.26 , 212.40 , 195.31 , 263.42 , 345.76 , 345.76 , 173.74 
Other Income, 27.28 , 7.15 , 11.79 , 2.30 , 2.66 , 13.27 , 17.20 , 25.13 , 23.26 , 42.54 , 48.58 , -   , -   
Depreciation, 26.06 , 23.56 , 33.96 , 31.02 , 51.73 , 52.03 , 37.22 , 38.40 , 42.62 , 44.15 , 44.67 , 44.67 , 44.67 
Interest, 21.36 , 22.48 , 17.00 , 14.77 , 12.03 , 9.63 , 8.64 , 6.63 , 8.05 , 6.77 , 12.99 , 12.99 , 12.99 
Profit before tax, 22.45 , 37.73 , 89.46 , 124.01 , 174.19 , 239.23 , 174.60 , 192.50 , 167.90 , 255.04 , 336.68 , 288.10 , 116.08 
Tax, 0.41 , 13.86 , 30.87 , 40.71 , 60.61 , 82.75 , 59.71 , 60.45 , 30.79 , 64.73 , 86.29 ,26%,26%
Net profit, 22.04 , 23.87 , 58.59 , 83.31 , 113.58 , 156.48 , 114.88 , 132.05 , 137.12 , 190.30 , 250.39 , 214.26 , 86.33 
EPS, 5.04 , 5.46 , 13.41 , 19.06 , 25.99 , 35.81 , 26.29 , 30.22 , 31.38 , 43.55 , 57.28 , 49.01 , 19.75 
Price to earning, 10.38 , 6.59 , 4.62 , 7.06 , 6.47 , 10.09 , 11.32 , 7.11 , 4.06 , 7.32 , 5.53 , 6.00 , 5.53 
Price, 52.35 , 36.00 , 61.95 , 134.50 , 168.15 , 361.35 , 297.50 , 214.70 , 127.40 , 318.65 , 316.90 , 294.27 , 109.26 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,19.83%,27.48%,22.39%,0.00%,0.00%,13.97%,19.03%,16.55%,15.94%,17.23%,,,
OPM,4.36%,9.47%,11.53%,13.66%,19.94%,22.87%,15.11%,15.10%,16.29%,22.17%,21.15%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,2.21%,0.90%,0.13%,-4.05%,37.58%,37.58%,-4.05%
,,,,,,OPM,15.49%,17.78%,18.17%,17.69%,21.15%,21.15%,15.49%
,,,,,,Price to Earning, 7.32 , 7.37 , 7.57 , 6.00 , 5.53 , 6.00 , 5.53 
