Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 6,202.85 "," 7,647.48 "," 9,301.05 "," 10,782.37 "," 12,473.50 "," 14,072.10 "," 14,840.61 "," 17,364.49 "," 19,702.88 "," 19,852.92 "," 19,587.10 "," 21,875.03 "," 20,002.08 "
Expenses, 385.68 , 353.15 , 327.11 , 377.12 , 605.48 , 883.71 , 921.30 ," 1,081.75 "," 1,568.84 "," 1,997.10 "," 3,747.81 "," 1,786.15 "," 3,827.21 "
Operating Profit," 5,817.17 "," 7,294.33 "," 8,973.94 "," 10,405.25 "," 11,868.02 "," 13,188.39 "," 13,919.31 "," 16,282.74 "," 18,134.04 "," 17,855.82 "," 15,839.29 "," 20,088.87 "," 16,174.87 "
Other Income, 12.23 , 11.37 , 33.57 , 16.32 , 12.01 , 8.31 , 0.02 , 0.08 , -33.12 , -5.23 , 21.70 , -   , -   
Depreciation, 7.42 , 7.53 , 7.63 , 9.38 , 9.72 , 9.43 , 9.98 , 11.73 , 48.07 , 49.44 , 50.50 , 50.50 , 50.50 
Interest," 4,591.06 "," 5,924.60 "," 7,174.38 "," 8,310.25 "," 9,306.76 "," 10,231.49 "," 11,143.85 "," 12,891.54 "," 14,783.86 "," 14,452.58 "," 13,994.76 "," 13,994.76 "," 13,994.76 "
Profit before tax," 1,230.92 "," 1,373.57 "," 1,825.50 "," 2,101.94 "," 2,563.55 "," 2,955.78 "," 2,765.50 "," 3,379.55 "," 3,268.99 "," 3,348.57 "," 1,815.73 "," 6,043.61 "," 2,129.61 "
Tax, 316.72 , 350.36 , 508.32 , 715.76 , 902.76 ," 1,024.72 ", 763.00 , 948.58 , 867.15 , 614.23 , 248.18 ,14%,14%
Net profit, 914.20 ," 1,023.21 "," 1,317.19 "," 1,386.19 "," 1,660.79 "," 1,931.05 "," 2,002.50 "," 2,430.97 "," 2,401.84 "," 2,734.34 "," 1,567.55 "," 5,217.55 "," 1,838.52 "
EPS, 18.11 , 20.27 , 26.10 , 27.47 , 32.91 , 38.26 , 39.68 , 48.17 , 47.59 , 54.18 , 28.49 , 94.83 , 33.42 
Price to earning, 14.54 , 11.09 , 9.05 , 15.93 , 14.99 , 16.16 , 13.47 , 11.05 , 4.94 , 7.90 , 13.49 , 13.49 , 9.35 
Price, 263.35 , 224.90 , 236.15 , 437.60 , 493.15 , 618.45 , 534.40 , 532.20 , 235.30 , 428.20 , 384.35 ," 1,279.30 ", 312.33 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,19.89%,18.75%,17.25%,18.22%,16.72%,16.21%,17.15%,15.79%,16.82%,15.70%,,,
OPM,93.78%,95.38%,96.48%,96.50%,95.15%,93.72%,93.79%,93.77%,92.04%,89.94%,80.87%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.80%,11.44%,9.74%,10.19%,0.76%,10.19%,0.76%
,,,,,,OPM,93.57%,93.18%,92.48%,91.83%,80.87%,91.83%,80.87%
,,,,,,Price to Earning, 12.06 , 12.24 , 11.17 , 9.35 , 13.49 , 13.49 , 9.35 
