Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 547.49 , 691.81 , 870.63 , 908.96 , 940.87 , 957.97 ," 1,077.51 "," 1,208.68 "," 1,664.36 "," 1,938.42 "," 2,284.90 "," 2,357.53 "," 2,215.21 "
Expenses, 514.81 , 647.04 , 801.10 , 827.66 , 846.39 , 838.36 , 923.18 ," 1,028.39 "," 1,392.89 "," 1,554.55 "," 1,792.83 "," 1,849.82 "," 1,921.60 "
Operating Profit, 32.68 , 44.77 , 69.53 , 81.30 , 94.48 , 119.61 , 154.33 , 180.29 , 271.47 , 383.87 , 492.07 , 507.71 , 293.61 
Other Income, 0.05 , 0.07 , 0.51 , 0.12 , 0.29 , 1.61 , 1.74 , 9.19 , 6.33 , 10.23 , 16.13 , -   , -   
Depreciation, 3.88 , 4.45 , 5.73 , -4.22 , 4.12 , 7.08 , 9.63 , 11.24 , 14.82 , 17.09 , 17.83 , 17.83 , 17.83 
Interest, 8.26 , 10.67 , 17.43 , 17.64 , 11.97 , 22.00 , 25.42 , 23.60 , 20.40 , 10.92 , 9.53 , 9.53 , 9.53 
Profit before tax, 20.59 , 29.72 , 46.88 , 68.00 , 78.68 , 92.14 , 121.02 , 154.64 , 242.58 , 366.09 , 480.84 , 480.35 , 266.25 
Tax, 6.45 , 9.37 , 15.50 , 22.76 , 27.34 , 32.49 , 43.14 , 53.33 , 61.84 , 92.72 , 119.62 ,25%,25%
Net profit, 14.14 , 20.35 , 31.38 , 45.23 , 51.34 , 59.65 , 77.88 , 101.31 , 180.74 , 273.37 , 361.22 , 360.85 , 200.01 
EPS, 5.59 , 8.04 , 12.40 , 17.88 , 20.29 , 23.58 , 30.78 , 40.04 , 71.44 , 108.05 , 119.99 , 119.87 , 66.44 
Price to earning,  ,  ,  ,  , 32.55 , 30.28 , 55.27 , 34.29 , 13.23 , 16.18 , 20.34 , 21.01 , 20.34 
Price, -   , -   , -   , -   , 660.42 , 713.80 ," 1,701.50 "," 1,373.25 ", 944.95 ," 1,748.35 "," 2,441.00 "," 2,518.57 "," 1,351.61 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,8.27%,5.75%,5.07%,7.03%,7.23%,6.22%,6.81%,9.16%,18.32%,0.00%,,,
OPM,5.97%,6.47%,7.99%,8.94%,10.04%,12.49%,14.32%,14.92%,16.31%,19.80%,21.54%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,15.08%,12.11%,15.55%,21.62%,17.87%,21.62%,12.11%
,,,,,,OPM,13.25%,14.78%,16.21%,17.37%,21.54%,21.54%,13.25%
,,,,,,Price to Earning, 28.88 , 28.88 , 28.27 , 21.01 , 20.34 , 21.01 , 20.34 
