Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 81.92 , 94.88 , 97.66 , 129.20 , 110.86 , 132.20 ," 1,358.72 "," 1,217.37 "," 1,269.59 "," 2,161.49 "," 2,632.85 "," 3,679.96 "," 2,602.14 "
Expenses, 13.89 , 11.32 , 24.20 , 26.13 , 19.84 , 5.43 , 730.95 , 732.90 , 953.21 ," 1,094.65 "," 1,462.97 "," 2,044.81 "," 1,556.63 "
Operating Profit, 68.03 , 83.56 , 73.46 , 103.07 , 91.02 , 126.77 , 627.77 , 484.47 , 316.38 ," 1,066.84 "," 1,169.88 "," 1,635.15 "," 1,045.51 "
Other Income, 0.03 , -16.35 , -1.23 , -   , -   , -28.62 , -5.45 , 30.00 , 36.80 , -65.28 , 31.40 , -   , -   
Depreciation, 0.93 , 8.36 , 8.32 , 8.17 , 8.02 , 6.92 , 29.42 , 18.01 , 29.84 , 36.51 , 39.55 , 39.55 , 39.55 
Interest, 0.90 , 13.45 , 19.01 , 29.58 , 29.53 , 4.88 , 92.88 , 104.28 , 129.24 , 127.70 , 151.39 , 151.39 , 151.39 
Profit before tax, 66.23 , 45.40 , 44.90 , 65.32 , 53.47 , 86.35 , 500.02 , 392.18 , 194.10 , 837.35 ," 1,010.34 "," 1,444.21 ", 854.57 
Tax, 9.93 , 6.66 , 5.59 , 4.83 , 6.72 , 0.05 , 106.75 , 69.87 , -2.70 , 124.95 , 165.75 ,16%,16%
Net profit, 56.30 , 38.75 , 39.31 , 60.49 , 46.75 , 86.30 , 393.27 , 322.31 , 196.80 , 712.40 , 844.59 ," 1,207.28 ", 714.37 
EPS, 3.88 , 2.67 , 2.84 , 4.31 , 3.29 , 5.97 , 27.10 , 22.12 , 13.29 , 48.59 , 56.62 , 80.94 , 47.89 
Price to earning, 26.31 , 28.89 , 32.52 , 65.66 , 83.11 , 121.63 , 36.98 , 27.22 , 37.41 , 12.86 , 16.07 , 23.39 , 16.07 
Price, 102.10 , 77.10 , 92.50 , 283.30 , 273.25 , 726.40 ," 1,002.35 ", 602.10 , 497.05 , 624.80 , 910.05 ," 1,892.98 ", 769.74 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,38.65%,74.94%,70.31%,69.53%,106.46%,92.10%,31.36%,38.42%,30.10%,20.58%,,,
OPM,83.04%,88.07%,75.22%,79.78%,82.10%,95.89%,46.20%,39.80%,24.92%,49.36%,44.43%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,43.86%,55.65%,81.13%,16.74%,70.25%,70.25%,16.74%
,,,,,,OPM,45.71%,44.15%,42.71%,40.18%,44.43%,44.43%,40.18%
,,,,,,Price to Earning, 44.42 , 50.12 , 42.03 , 23.39 , 16.07 , 23.39 , 16.07 
