Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 99.90 , 95.45 , 105.03 , 80.89 , 81.48 , 100.68 , 156.62 , 183.67 , 213.77 , 246.43 , 292.59 ,#VALUE!,#VALUE!
Expenses, 84.96 , 75.64 , 85.77 , 79.01 , 70.82 , 112.76 , 124.74 , 129.95 , 155.81 , 163.34 , 195.79 ,#VALUE!,#VALUE!
Operating Profit, 14.94 , 19.81 , 19.26 , 1.88 , 10.66 , -12.08 , 31.88 , 53.72 , 57.96 , 83.09 , 96.80 ,#VALUE!,#VALUE!
Other Income, 2.90 , 0.74 , 1.73 , 3.26 , 0.80 , 0.78 , 0.94 , 3.53 , 4.37 , 1.31 , 6.90 , -   , -   
Depreciation, 8.42 , 9.43 , 9.54 , 4.81 , 5.30 , 5.00 , 11.21 , 11.23 , 12.05 , 12.56 , 13.79 , 13.79 , 13.79 
Interest, 6.44 , 9.38 , 8.57 , 7.58 , 6.70 , 5.35 , 4.46 , 4.46 , 4.75 , 7.00 , 6.26 , 6.26 , 6.26 
Profit before tax, 2.98 , 1.74 , 2.88 , -7.25 , -0.54 , -21.65 , 17.15 , 41.56 , 45.53 , 64.84 , 83.65 ,#VALUE!,#VALUE!
Tax, 0.25 , 1.40 , 1.07 , -2.63 , -0.72 , -6.59 , 11.73 , 2.35 , 14.22 , 18.77 , 24.56 ,29%,29%
Net profit, 2.73 , 0.34 , 1.81 , -4.62 , 0.18 , -15.06 , 5.42 , 39.20 , 31.32 , 46.08 , 59.09 ,#VALUE!,#VALUE!
EPS, 0.97 , 0.12 , 0.64 , -1.64 , 0.06 , -5.34 , 1.92 , 13.90 , 11.69 , 14.96 , 19.18 ,#VALUE!,#VALUE!
Price to earning,  ,  ,  ,  ,  ,  ,  ,  ,  , 68.42 , 92.84 ,#REF!,#REF!
Price, -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,023.70 "," 1,780.70 ",#VALUE!,#VALUE!
