Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,373.25 "," 3,428.66 "," 3,391.73 "," 3,397.53 "," 3,123.96 "," 2,869.68 "," 2,371.91 "," 1,987.80 "," 1,536.36 "," 1,303.64 "," 1,146.95 "," 1,146.95 "," 1,096.19 "
Expenses," 5,267.26 "," 6,352.28 "," 4,304.77 "," 4,164.31 "," 3,941.39 "," 3,955.77 "," 3,543.36 "," 3,307.60 "," 3,006.88 "," 1,249.84 "," 1,338.68 "," 1,134.17 "," 1,096.19 "
Operating Profit," -1,894.01 "," -2,923.62 ", -913.04 , -766.78 , -817.43 ," -1,086.09 "," -1,171.45 "," -1,319.80 "," -1,470.52 ", 53.80 , -191.73 , 12.78 , -   
Other Income, 230.01 , 260.11 ," 11,791.66 ", 444.37 , 880.56 , 676.73 , 732.59 , 616.48 , 688.33 , 474.98 , 502.67 , -   , -   
Depreciation," 1,496.22 "," 1,476.94 "," 1,165.74 "," 1,130.97 "," 1,151.59 "," 1,087.63 "," 1,028.68 ", 983.70 , 971.95 , 879.65 , 783.80 , 783.80 , 783.80 
Interest, 949.57 ," 1,180.67 "," 1,390.57 "," 1,440.01 "," 1,351.34 "," 1,448.47 "," 1,505.49 "," 1,703.18 "," 1,941.54 "," 2,110.92 "," 2,132.48 "," 2,132.48 "," 2,132.48 "
Profit before tax," -4,109.79 "," -5,321.12 "," 8,322.31 "," -2,893.39 "," -2,439.80 "," -2,945.46 "," -2,973.03 "," -3,390.20 "," -3,695.68 "," -2,461.79 "," -2,605.34 "," -2,903.50 "," -2,916.28 "
Tax, -   , -   , 497.18 , -   , -492.26 , -4.38 , -   , -   , -   , -   , -   ,0%,0%
Net profit," -4,109.79 "," -5,321.12 "," 7,825.13 "," -2,893.39 "," -1,947.54 "," -2,941.08 "," -2,973.03 "," -3,390.20 "," -3,695.68 "," -2,461.79 "," -2,605.34 "," -2,903.50 "," -2,916.28 "
EPS, -65.23 , -84.46 , 124.21 , -45.93 , -30.91 , -46.68 , -47.19 , -53.81 , -58.66 , -39.08 , -41.44 , -46.18 , -46.38 
Price to earning, -0.42 , -0.22 , 0.12 , -0.40 , -0.57 , -0.51 , -0.40 , -0.22 , -0.10 , -0.48 , -   , -   , -   
Price, 27.40 , 18.40 , 15.20 , 18.20 , 17.65 , 24.00 , 18.75 , 12.00 , 6.05 , 18.75 , 24.85 , -   , -   
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.13%,0.00%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-10.02%,-12.77%,-16.04%,-18.09%,-12.02%,-12.02%,-18.09%
,,,,,,OPM,0.20%,0.32%,0.53%,1.11%,0.00%,1.11%,0.00%
,,,,,,Price to Earning, 0.12 ,  ,  ,  , -   , -   , -   
