Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 3,444.61 "," 3,229.26 "," 4,039.74 "," 4,396.39 "," 5,812.43 "," 6,279.39 "," 5,905.01 "," 7,244.76 "," 5,210.34 "," 4,947.45 "," 5,742.35 "," 5,742.35 "," 4,618.58 "
Expenses," 3,295.37 "," 3,034.83 "," 3,814.58 "," 4,108.27 "," 5,503.73 "," 5,875.37 "," 5,503.53 "," 6,868.94 "," 5,193.53 "," 4,860.89 "," 5,591.67 "," 5,584.23 "," 4,497.39 "
Operating Profit, 149.24 , 194.43 , 225.16 , 288.12 , 308.70 , 404.02 , 401.48 , 375.82 , 16.81 , 86.56 , 150.68 , 158.12 , 121.19 
Other Income, 143.87 , 109.84 , 133.22 , 146.58 , 100.76 , 88.58 , 106.13 , 187.47 , 235.09 , 172.63 , 175.68 , -   , -   
Depreciation, 1.36 , 1.35 , 1.35 , 2.34 , 2.45 , 2.61 , 2.71 , 2.64 , 2.77 , 2.31 , 1.85 , 1.85 , 1.85 
Interest, 1.92 , 1.28 , 23.52 , 41.35 , 3.04 , 2.34 , 2.28 , 2.19 , 7.84 , 12.43 , 6.74 , 6.74 , 6.74 
Profit before tax, 289.83 , 301.64 , 333.51 , 391.01 , 403.97 , 487.65 , 502.62 , 558.46 , 241.29 , 244.45 , 317.77 , 149.53 , 112.60 
Tax, 99.66 , 94.14 , 86.38 , 113.70 , 117.00 , 136.56 , 169.02 , 174.35 , 161.41 , 42.70 , 77.77 ,24%,24%
Net profit, 190.17 , 207.50 , 247.14 , 277.30 , 286.96 , 351.10 , 333.61 , 384.11 , 79.87 , 201.74 , 240.01 , 112.93 , 85.04 
EPS, 1.06 , 1.15 , 1.37 , 1.54 , 1.59 , 1.95 , 1.85 , 2.13 , 0.44 , 1.12 , 1.33 , 0.63 , 0.47 
Price to earning,  , 7.04 , 7.64 , 41.41 , 39.43 , 44.11 , 51.37 , 31.07 , 36.73 , 41.76 , 29.96 , 34.88 , 29.96 
Price, -   , 8.12 , 10.49 , 63.80 , 62.86 , 86.03 , 95.20 , 66.30 , 16.30 , 46.80 , 39.95 , 21.88 , 14.16 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,22.09%,21.69%,24.28%,23.80%,41.82%,41.78%,45.05%,30.46%,30.42%,41.94%,,,
OPM,4.33%,6.02%,5.57%,6.55%,5.31%,6.43%,6.80%,5.19%,0.32%,1.75%,2.62%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,4.10%,2.94%,-3.17%,-5.73%,16.07%,16.07%,-5.73%
,,,,,,OPM,4.85%,4.73%,4.34%,2.75%,2.62%,2.75%,2.62%
,,,,,,Price to Earning, 33.05 , 39.48 , 39.17 , 34.88 , 29.96 , 34.88 , 29.96 
