Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 723.28 , 633.89 , 512.58 , 344.06 , 377.25 , 363.32 , 361.87 , 377.79 , 400.85 , 368.09 , 435.43 , 435.43 , 336.61 
Expenses, 673.85 , 595.76 , 490.99 , 351.49 , 369.95 , 363.56 , 350.55 , 371.35 , 368.56 , 346.89 , 420.43 , 412.67 , 326.41 
Operating Profit, 49.43 , 38.13 , 21.59 , -7.43 , 7.30 , -0.24 , 11.32 , 6.44 , 32.29 , 21.20 , 15.00 , 22.76 , 10.20 
Other Income, 156.65 , 66.52 , 63.28 , -48.12 , 42.61 , 45.32 , 38.56 , 63.37 ," 1,528.92 ", 73.89 , 100.71 , -   , -   
Depreciation, 68.40 , 78.24 , 67.95 , 43.13 , 28.24 , 24.15 , 23.82 , 23.15 , 35.00 , 26.70 , 21.76 , 21.76 , 21.76 
Interest, 23.33 , 18.32 , 18.81 , 13.98 , 21.01 , 23.88 , 20.39 , 19.98 , 13.84 , 3.59 , 1.16 , 1.16 , 1.16 
Profit before tax, 114.35 , 8.09 , -1.89 , -112.66 , 0.66 , -2.95 , 5.67 , 26.68 ," 1,512.37 ", 64.80 , 92.79 , -0.16 , -12.72 
Tax, 18.10 , 6.93 , 5.89 , 3.44 , 0.56 , 0.58 , 0.53 , 1.18 , 144.01 , 11.19 , 9.88 ,11%,11%
Net profit, 96.25 , 1.16 , -7.78 , -116.10 , 0.11 , -3.53 , 5.15 , 25.50 ," 1,368.36 ", 53.61 , 82.93 , -0.15 , -11.37 
EPS, 5.83 , 0.07 , -0.47 , -7.03 , 0.01 , -0.21 , 0.31 , 1.52 , 96.70 , 3.77 , 6.19 , -0.01 , -0.85 
Price to earning, 9.35 , 293.91 , -56.98 , -5.12 ," 11,878.39 ", -395.24 , 322.69 , 59.31 , 0.85 , 36.60 , 100.04 , 100.04 , 49.20 
Price, 54.50 , 20.65 , 26.85 , 35.95 , 78.95 , 84.20 , 99.75 , 90.40 , 82.20 , 137.90 , 619.70 , -1.09 , -41.78 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,27.45%,2277.59%,0.00%,0.00%,0.00%,0.00%,0.00%,328.16%,10.34%,66.39%,,,
OPM,6.83%,6.02%,4.21%,0.00%,1.94%,0.00%,3.13%,1.70%,8.06%,5.76%,3.44%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-7.23%,-4.62%,-0.49%,0.57%,18.29%,18.29%,-7.23%
,,,,,,OPM,4.21%,3.03%,3.81%,5.23%,3.44%,5.23%,3.03%
,,,,,,Price to Earning," 1,587.64 "," 2,066.31 ", 103.90 , 49.20 , 100.04 , 100.04 , 49.20 
