Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 391.39 , 595.05 , 622.56 , 699.24 ," 1,183.39 ", 890.59 , 974.19 ," 1,028.66 ", 619.66 , 849.67 ," 1,072.49 "," 1,165.06 ", 780.91 
Expenses, 184.79 , 274.11 , 272.52 , 300.82 , 622.95 , 428.60 , 450.15 , 467.19 , 281.88 , 354.66 , 513.79 , 514.78 , 374.11 
Operating Profit, 206.60 , 320.94 , 350.04 , 398.42 , 560.44 , 461.99 , 524.04 , 561.47 , 337.78 , 495.01 , 558.70 , 650.28 , 406.81 
Other Income, 158.85 , 146.69 , 83.30 , 61.83 , 165.61 , 58.31 , 109.11 , 129.48 , 123.84 , 51.49 , 56.77 , -   , -   
Depreciation, 22.35 , 23.67 , 22.33 , 33.51 , 42.07 , 42.00 , 39.64 , 31.52 , 30.84 , 27.46 , 26.44 , 26.44 , 26.44 
Interest, 0.26 , 0.34 , 0.26 , 0.17 , 3.26 , 2.17 , 2.57 , 14.54 , 11.87 , 10.52 , 14.63 , 14.63 , 14.63 
Profit before tax, 342.84 , 443.62 , 410.75 , 426.57 , 680.72 , 476.13 , 590.94 , 644.89 , 418.91 , 508.52 , 574.40 , 609.21 , 365.74 
Tax, 87.91 , 116.15 , 115.62 , 121.80 , 183.14 , 155.48 , 173.77 , 191.18 , 104.07 , 91.89 , 139.22 ,24%,24%
Net profit, 254.93 , 327.47 , 295.12 , 304.77 , 497.58 , 320.65 , 417.17 , 453.70 , 314.84 , 416.62 , 435.18 , 461.55 , 277.09 
EPS, 7.77 , 9.98 , 8.99 , 9.29 , 14.66 , 9.44 , 12.28 , 12.48 , 8.66 , 11.46 , 11.95 , 12.67 , 7.61 
Price to earning, 34.72 , 25.82 , 24.00 , 30.62 , 16.47 , 39.01 , 41.54 , 42.34 , 38.31 , 50.20 , 81.86 , 81.86 , 38.63 
Price, 269.65 , 257.65 , 215.85 , 284.35 , 241.50 , 368.45 , 510.25 , 528.30 , 331.75 , 575.15 , 977.85 ," 1,037.11 ", 293.80 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,25.75%,20.05%,22.25%,21.54%,13.64%,21.18%,16.28%,16.03%,0.00%,0.00%,,,
OPM,52.79%,53.93%,56.23%,56.98%,47.36%,51.87%,53.79%,54.58%,54.51%,58.26%,52.09%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,8.99%,4.54%,-6.41%,-4.46%,37.12%,37.12%,-6.41%
,,,,,,OPM,53.69%,53.47%,54.56%,55.82%,52.09%,55.82%,52.09%
,,,,,,Price to Earning, 38.63 , 42.54 , 48.88 , 53.18 , 81.86 , 81.86 , 38.63 
