Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 59.78 , 70.07 , 80.33 , 92.15 , 92.96 , 104.89 , 161.49 , 290.30 , 395.53 , 277.22 , 462.09 , 462.09 , 363.10 
Expenses, 50.92 , 59.48 , 69.34 , 75.46 , 74.56 , 84.77 , 147.58 , 304.08 , 386.44 , 256.31 , 397.00 , 397.00 , 351.79 
Operating Profit, 8.86 , 10.59 , 10.99 , 16.69 , 18.40 , 20.12 , 13.91 , -13.78 , 9.09 , 20.91 , 65.09 , 65.09 , 11.31 
Other Income, 1.25 , 1.15 , 0.26 , 1.17 , 0.99 , 1.20 , 7.34 , 15.13 , 26.89 , 11.40 , 4.06 , -   , -   
Depreciation, 2.82 , 2.34 , 2.40 , 5.65 , 5.47 , 2.46 , 3.22 , 6.22 , 8.83 , 8.89 , 21.81 , 21.81 , 21.81 
Interest, 4.90 , 6.38 , 5.79 , 5.78 , 5.74 , 5.73 , 6.13 , 14.93 , 13.79 , 7.43 , 6.65 , 6.65 , 6.65 
Profit before tax, 2.39 , 3.02 , 3.06 , 6.43 , 8.18 , 13.13 , 11.90 , -19.80 , 13.36 , 15.99 , 40.69 , 36.63 , -17.15 
Tax, 0.48 , 1.02 , 0.95 , 1.51 , 2.39 , 4.70 , 3.00 , -6.22 , 2.65 , 3.78 , 13.47 ,33%,33%
Net profit, 1.91 , 2.01 , 2.12 , 4.92 , 5.80 , 8.42 , 8.89 , -13.58 , 10.70 , 12.21 , 27.23 , 24.50 , -11.47 
EPS, 0.53 , 0.56 , 0.59 , 1.36 , 1.61 , 2.33 , 1.77 , -1.71 , 1.30 , 1.49 , 3.32 , 2.99 , -1.40 
Price to earning, 20.13 , 18.23 , 12.52 , 11.78 , 10.36 , 32.28 , 102.97 , -142.81 , 37.75 , 146.11 , 216.94 , 216.94 , 60.91 
Price, 10.65 , 10.15 , 7.35 , 16.05 , 16.65 , 75.30 , 182.35 , 244.25 , 49.20 , 217.30 , 720.80 , 648.64 , -85.26 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,37.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,14.82%,15.11%,13.68%,18.11%,19.79%,19.18%,8.61%,0.00%,2.30%,7.54%,14.09%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,18.59%,19.36%,24.42%,19.74%,66.69%,66.69%,18.59%
,,,,,,OPM,7.97%,7.01%,5.21%,3.12%,14.09%,14.09%,3.12%
,,,,,,Price to Earning, 60.91 , 79.74 , 107.21 , 133.60 , 216.94 , 216.94 , 60.91 
