Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 696.56 , 876.31 ," 1,187.68 "," 1,543.44 "," 1,795.60 "," 2,128.53 "," 2,551.37 "," 2,852.20 "," 2,945.54 "," 2,832.96 "," 3,656.12 ",#VALUE!,#VALUE!
Expenses, 546.82 , 694.91 , 931.47 ," 1,223.03 "," 1,419.12 "," 1,713.79 "," 2,009.50 "," 2,233.78 "," 2,412.43 "," 2,305.25 "," 2,967.95 ",#VALUE!,#VALUE!
Operating Profit, 149.74 , 181.40 , 256.21 , 320.41 , 376.48 , 414.74 , 541.87 , 618.42 , 533.11 , 527.71 , 688.17 ,#VALUE!,#VALUE!
Other Income, 5.02 , 7.72 , 6.49 , 8.19 , 9.59 , 24.29 , 21.33 , 35.89 , 24.64 , 18.95 , 21.62 , -   , -   
Depreciation, 10.62 , 11.35 , 13.93 , 17.64 , 24.12 , 24.72 , 27.99 , 31.06 , 61.36 , 62.91 , 64.70 , 64.70 , 64.70 
Interest, 10.05 , 12.09 , 15.29 , 17.65 , 18.86 , 19.49 , 17.70 , 17.22 , 34.39 , 30.33 , 29.69 , 29.69 , 29.69 
Profit before tax, 134.09 , 165.68 , 233.48 , 293.31 , 343.09 , 394.82 , 517.51 , 606.03 , 462.00 , 453.42 , 615.40 ,#VALUE!,#VALUE!
Tax, 44.11 , 53.14 , 79.70 , 97.28 , 111.57 , 128.54 , 170.53 , 212.09 , 118.79 , 112.84 , 153.83 ,25%,25%
Net profit, 89.98 , 112.53 , 153.78 , 196.02 , 231.52 , 266.28 , 346.98 , 393.94 , 343.22 , 340.58 , 461.57 ,#VALUE!,#VALUE!
EPS, 80.34 , 100.47 , 137.30 , 175.02 , 206.71 , 237.75 , 309.80 , 351.73 , 306.45 , 304.09 , 413.86 ,#VALUE!,#VALUE!
Price to earning, 33.58 , 33.15 , 47.26 , 78.46 , 58.62 , 61.50 , 73.22 , 71.00 , 55.36 , 99.70 , 107.12 ,#REF!,#REF!
Price," 2,698.15 "," 3,330.55 "," 6,489.55 "," 13,731.05 "," 12,116.90 "," 14,620.80 "," 22,684.55 "," 24,972.25 "," 16,963.50 "," 30,317.45 "," 44,332.85 ",#VALUE!,#VALUE!
