Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 810.36 , 996.75 ," 1,184.12 "," 1,242.50 "," 1,447.14 "," 1,732.96 "," 1,732.75 "," 1,959.87 "," 2,108.12 "," 2,479.61 "," 3,225.13 "," 3,225.13 "," 2,838.77 "
Expenses, 596.20 , 719.25 , 817.91 , 939.83 ," 1,121.56 "," 1,362.78 "," 1,351.37 "," 1,579.35 "," 1,674.60 "," 1,868.71 "," 2,430.60 "," 2,430.60 "," 2,221.73 "
Operating Profit, 214.16 , 277.50 , 366.21 , 302.67 , 325.58 , 370.18 , 381.38 , 380.52 , 433.52 , 610.90 , 794.53 , 794.53 , 617.04 
Other Income, 32.38 , 28.83 , 34.23 , 95.67 , 79.47 , 94.62 , 127.68 , 103.79 , 159.35 , 117.62 , 128.35 , -   , -   
Depreciation, 56.44 , 59.70 , 58.41 , 49.17 , 58.54 , 60.97 , 53.78 , 45.88 , 55.51 , 56.68 , 73.47 , 73.47 , 73.47 
Interest, -   , 0.04 , 0.05 , 0.34 , 0.09 , 0.09 , 0.06 , 0.05 , 4.45 , 3.82 , 6.28 , 6.28 , 6.28 
Profit before tax, 190.10 , 246.59 , 341.98 , 348.83 , 346.42 , 403.74 , 455.22 , 438.38 , 532.91 , 668.02 , 843.13 , 714.78 , 537.29 
Tax, 52.71 , 64.79 , 93.41 , 89.53 , 96.82 , 109.71 , 113.10 , 123.37 , 125.18 , 162.93 , 211.67 ,25%,25%
Net profit, 137.39 , 181.81 , 248.57 , 259.30 , 249.60 , 294.03 , 342.12 , 315.01 , 407.72 , 505.09 , 631.46 , 535.33 , 402.40 
EPS, 17.17 , 22.73 , 31.07 , 32.41 , 31.20 , 36.75 , 42.77 , 39.38 , 53.37 , 66.11 , 82.48 , 69.93 , 52.56 
Price to earning, 9.23 , 11.97 , 16.89 , 22.04 , 24.43 , 16.21 , 16.23 , 15.99 , 10.32 , 29.07 , 59.60 , 59.60 , 21.09 
Price, 158.53 , 272.00 , 524.73 , 714.30 , 762.15 , 595.70 , 694.05 , 629.55 , 550.95 ," 1,922.05 "," 4,915.70 "," 4,167.38 "," 1,108.45 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,17.47%,19.80%,19.31%,46.28%,25.64%,24.49%,23.38%,27.63%,22.50%,30.26%,,,
OPM,26.43%,27.84%,30.93%,24.36%,22.50%,21.36%,22.01%,19.42%,20.56%,24.64%,24.64%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,13.23%,11.14%,11.37%,12.69%,30.07%,30.07%,11.14%
,,,,,,OPM,23.34%,22.08%,21.74%,21.76%,24.64%,24.64%,21.74%
,,,,,,Price to Earning, 21.09 , 24.24 , 24.57 , 28.75 , 59.60 , 59.60 , 21.09 
