Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 225.53 , 269.13 , 293.75 , 313.62 , 355.79 , 375.90 , 397.21 , 440.33 , 444.43 , 249.18 , 266.16 , 266.16 , 210.87 
Expenses, 84.60 , 90.60 , 100.67 , 110.45 , 139.27 , 122.05 , 144.97 , 171.61 , 185.23 , 115.59 , 136.73 , 110.89 , 108.32 
Operating Profit, 140.93 , 178.53 , 193.08 , 203.17 , 216.52 , 253.85 , 252.24 , 268.72 , 259.20 , 133.59 , 129.43 , 155.27 , 102.54 
Other Income, 44.77 , 56.53 , 80.00 , 12.43 , 93.24 , 20.06 , 52.68 , 62.56 , 41.23 , 287.50 , 310.31 , -   , -   
Depreciation, 28.29 , 27.54 , 25.44 , 31.05 , 29.31 , 30.07 , 40.29 , 44.20 , 46.31 , 42.38 , 30.28 , 30.28 , 30.28 
Interest, 16.64 , 26.58 , 44.42 , 70.68 , 68.98 , 81.31 , 74.51 , 77.79 , 75.81 , 62.46 , 58.51 , 58.51 , 58.51 
Profit before tax, 140.77 , 180.94 , 203.22 , 113.87 , 211.47 , 162.53 , 190.12 , 209.29 , 178.31 , 316.25 , 350.95 , 66.48 , 13.75 
Tax, 35.43 , 47.06 , 50.67 , 52.02 , 61.87 , 28.99 , 35.28 , 36.21 , 30.74 , 24.00 , 30.54 ,9%,9%
Net profit, 105.34 , 133.88 , 152.56 , 61.85 , 149.60 , 133.55 , 154.83 , 173.09 , 147.56 , 292.26 , 320.40 , 60.70 , 12.55 
EPS, 7.27 , 9.25 , 10.54 , 4.27 , 9.78 , 8.72 , 10.11 , 11.29 , 9.61 , 17.00 , 17.89 , 3.39 , 0.70 
Price to earning, 28.84 , 29.71 , 23.60 , 83.68 , 30.71 , 43.39 , 58.48 , 58.26 , 59.33 , 45.92 , 60.10 , 60.10 , 47.46 
Price, 209.80 , 274.70 , 248.60 , 356.95 , 300.30 , 378.45 , 591.40 , 657.85 , 570.30 , 780.65 ," 1,075.00 ", 203.64 , 33.26 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,27.50%,23.80%,20.89%,51.56%,22.50%,27.50%,25.72%,26.57%,0.00%,5.88%,,,
OPM,62.49%,66.34%,65.73%,64.78%,60.86%,67.53%,63.50%,61.03%,58.32%,53.61%,48.63%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,1.11%,-2.32%,-6.88%,-14.40%,6.81%,6.81%,-14.40%
,,,,,,OPM,62.40%,61.61%,61.23%,58.34%,48.63%,58.34%,48.63%
,,,,,,Price to Earning, 47.46 , 54.98 , 54.24 , 55.90 , 60.10 , 60.10 , 47.46 
