Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 745.47 ," 1,512.37 "," 2,005.19 "," 2,449.62 "," 3,261.30 "," 2,176.40 "," 2,992.50 "," 2,441.10 "," 3,355.80 "," 4,054.20 "," 4,073.40 "," 4,897.95 "," 4,235.41 "
Expenses, 507.88 ," 1,095.01 "," 1,502.63 "," 1,752.02 "," 2,683.70 "," 1,731.60 "," 2,417.20 "," 1,799.00 "," 2,354.10 "," 3,113.60 "," 3,335.90 "," 3,612.99 "," 3,468.58 "
Operating Profit, 237.59 , 417.36 , 502.56 , 697.60 , 577.60 , 444.80 , 575.30 , 642.10 ," 1,001.70 ", 940.60 , 737.50 ," 1,284.96 ", 766.83 
Other Income, 53.06 , 93.92 , 147.25 , 123.41 , 139.40 , 387.90 , 111.30 , 138.20 , 208.50 , 93.10 , 228.50 , -   , -   
Depreciation, 32.45 , 32.96 , 35.54 , 42.25 , 50.40 , 69.80 , 55.80 , 63.50 , 315.80 , 306.40 , 285.70 , 285.70 , 285.70 
Interest, 76.51 , 89.72 , 126.05 , 188.28 , 221.10 , 191.30 , 375.20 , 418.80 , 572.60 , 491.50 , 309.50 , 309.50 , 309.50 
Profit before tax, 181.69 , 388.60 , 488.22 , 590.48 , 445.50 , 571.60 , 255.60 , 298.00 , 321.80 , 235.80 , 370.80 , 689.76 , 171.63 
Tax, 52.62 , 112.53 , 148.20 , 176.25 , 44.80 , -18.70 , 23.60 , 8.80 , 59.40 , 23.00 , 88.70 ,24%,24%
Net profit, 129.07 , 276.07 , 340.02 , 414.23 , 400.70 , 590.30 , 232.00 , 289.20 , 262.40 , 212.80 , 282.10 , 524.76 , 130.58 
EPS, 3.93 , 7.89 , 9.71 , 11.05 , 10.69 , 15.74 , 6.19 , 7.71 , 6.55 , 5.31 , 7.04 , 13.09 , 3.26 
Price to earning, 25.47 , 20.73 , 17.53 , 24.28 , 16.17 , 13.81 , 47.17 , 32.78 , 25.70 , 57.57 , 70.81 , 70.81 , 32.00 
Price, 100.20 , 163.55 , 170.35 , 268.25 , 172.75 , 217.45 , 291.80 , 252.80 , 168.20 , 305.60 , 498.25 , 926.84 , 104.24 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,30.50%,15.21%,15.44%,13.58%,11.23%,7.62%,19.40%,19.45%,22.92%,28.26%,,,
OPM,31.87%,27.60%,25.06%,28.48%,17.71%,20.44%,19.22%,26.30%,29.85%,23.20%,18.11%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,20.70%,10.58%,4.45%,10.65%,20.81%,20.81%,4.45%
,,,,,,OPM,24.15%,23.54%,24.00%,26.23%,18.11%,26.23%,18.11%
,,,,,,Price to Earning, 32.00 , 36.04 , 41.31 , 46.71 , 70.81 , 70.81 , 32.00 
