Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 7,612.58 "," 8,865.74 "," 11,414.22 "," 13,018.06 "," 12,475.93 "," 14,074.83 "," 11,315.38 "," 13,495.65 "," 16,442.97 "," 16,963.29 "," 16,821.64 "," 19,414.39 "," 17,495.59 "
Expenses," 7,493.03 "," 8,695.15 "," 11,096.71 "," 12,743.26 "," 12,207.46 "," 13,763.84 "," 10,951.29 "," 13,081.41 "," 16,004.52 "," 16,328.95 "," 16,219.75 "," 18,719.73 "," 17,034.39 "
Operating Profit, 119.55 , 170.59 , 317.51 , 274.80 , 268.47 , 310.99 , 364.09 , 414.24 , 438.45 , 634.34 , 601.89 , 694.66 , 461.20 
Other Income, 77.03 , 13.58 , 58.23 , 35.52 , 184.19 , 237.97 , 203.13 , 131.67 , 45.32 , -31.51 , -54.83 , -   , -   
Depreciation, 4.46 , 4.21 , 4.20 , 4.16 , 3.53 , 2.71 , 2.85 , 3.03 , 2.85 , 2.79 , 3.16 , 3.16 , 3.16 
Interest, 26.54 , 1.50 , 7.32 , 4.85 , 105.00 , 137.24 , 119.60 , 145.40 , 58.39 , 34.47 , 31.39 , 31.39 , 31.39 
Profit before tax, 165.58 , 178.46 , 364.22 , 301.31 , 344.13 , 409.01 , 444.77 , 397.48 , 422.53 , 565.57 , 512.51 , 660.11 , 426.65 
Tax, 45.21 , 49.72 , 112.99 , 98.21 , 109.70 , 118.14 , 125.57 , 135.16 , 102.42 , 155.32 , 146.52 ,29%,29%
Net profit, 120.37 , 128.74 , 251.23 , 203.10 , 234.43 , 290.87 , 319.20 , 262.32 , 320.11 , 410.25 , 365.99 , 471.39 , 304.68 
EPS, 4.08 , 4.35 , 8.49 , 6.86 , 7.92 , 9.83 , 10.78 , 8.86 , 10.81 , 13.86 , 12.36 , 15.92 , 10.29 
Price to earning, 15.05 , 13.78 , 7.99 , 11.79 , 8.08 , 9.50 , 8.10 , 8.29 , 3.58 , 5.61 , 8.05 , 8.05 , 6.38 
Price, 61.40 , 59.95 , 67.80 , 80.90 , 64.00 , 93.40 , 87.40 , 73.45 , 38.75 , 77.75 , 99.55 , 128.22 , 65.70 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,36.76%,36.79%,23.56%,32.06%,31.57%,30.53%,37.09%,45.14%,50.86%,54.12%,,,
OPM,1.57%,1.92%,2.78%,2.11%,2.15%,2.21%,3.22%,3.07%,2.67%,3.74%,3.58%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.31%,5.82%,6.34%,14.45%,3.16%,14.45%,3.16%
,,,,,,OPM,2.64%,2.77%,2.99%,3.17%,3.58%,3.58%,2.64%
,,,,,,Price to Earning, 9.08 , 7.88 , 7.19 , 6.38 , 8.05 , 8.05 , 6.38 
