Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales," 1,871.87 "," 2,032.39 "," 2,185.59 "," 2,645.32 "," 2,791.91 "," 2,822.18 "," 3,011.56 "," 3,276.39 "," 3,186.39 "," 1,752.41 "," 3,132.40 ",#VALUE!,#VALUE!
Expenses," 1,648.00 "," 1,860.28 "," 2,046.66 "," 2,418.15 "," 2,563.91 "," 2,662.09 "," 2,801.13 "," 3,038.58 "," 2,929.65 "," 1,742.99 "," 2,757.26 ",#VALUE!,#VALUE!
Operating Profit, 223.87 , 172.11 , 138.93 , 227.17 , 228.00 , 160.09 , 210.43 , 237.81 , 256.74 , 9.42 , 375.14 ,#VALUE!,#VALUE!
Other Income, 97.83 , 59.36 , 217.16 , 124.22 , 131.00 , 121.73 , 174.20 , 139.77 , 162.96 , 129.29 , 293.29 , -   , -   
Depreciation, 109.86 , 116.02 , 114.50 , 93.49 , 91.77 , 90.37 , 95.71 , 108.59 , 155.32 , 145.04 , 117.90 , 117.90 , 117.90 
Interest, 134.80 , 156.11 , 153.42 , 148.26 , 154.83 , 144.36 , 147.45 , 174.75 , 194.49 , 170.17 , 148.83 , 148.83 , 148.83 
Profit before tax, 77.04 , -40.66 , 88.17 , 109.64 , 112.40 , 47.09 , 141.47 , 94.24 , 69.89 , -176.50 , 401.70 ,#VALUE!,#VALUE!
Tax, 20.69 , 7.17 , 0.05 , 9.65 , 38.65 , 13.27 , 43.40 , 20.42 , -24.42 , -58.00 , 124.46 ,31%,31%
Net profit, 56.35 , -47.84 , 88.12 , 100.00 , 73.75 , 33.83 , 98.07 , 73.82 , 94.32 , -118.49 , 277.24 ,#VALUE!,#VALUE!
EPS, 9.18 , -7.79 , 14.35 , 16.29 , 12.01 , 5.51 , 15.97 , 12.02 , 14.58 , -17.79 , 41.62 ,#VALUE!,#VALUE!
Price to earning, 46.28 , -36.69 , 21.08 , 27.20 , 33.77 , 115.00 , 56.21 , 67.50 , 15.28 , -20.32 , 19.83 ,#REF!,#REF!
Price, 424.70 , 285.85 , 302.60 , 443.05 , 405.65 , 633.65 , 897.75 , 811.50 , 222.80 , 361.55 , 825.40 ,#VALUE!,#VALUE!
