Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 698.79 , 816.42 , 894.10 , 969.07 ," 1,013.03 "," 1,084.30 "," 1,089.76 "," 1,108.24 ", 941.40 ," 1,261.22 "," 1,422.19 "," 1,689.69 "," 1,324.94 "
Expenses, 612.06 , 698.11 , 769.68 , 835.15 , 881.55 , 943.18 , 923.70 , 938.27 , 816.79 ," 1,003.44 "," 1,136.46 "," 1,350.22 "," 1,129.82 "
Operating Profit, 86.73 , 118.31 , 124.42 , 133.92 , 131.48 , 141.12 , 166.06 , 169.97 , 124.61 , 257.78 , 285.73 , 339.47 , 195.11 
Other Income, 0.65 , 0.71 , 7.01 , 4.95 , 15.92 , 3.39 , 3.39 , 5.34 , 7.91 , 6.00 , 9.38 , -   , -   
Depreciation, 6.06 , 6.63 , 11.18 , 15.06 , 15.17 , 15.05 , 14.41 , 13.17 , 15.68 , 11.32 , 12.67 , 12.67 , 12.67 
Interest, 21.14 , 20.89 , 24.52 , 23.38 , 18.76 , 10.55 , 7.59 , 16.73 , 14.81 , 9.44 , 13.53 , 13.53 , 13.53 
Profit before tax, 60.18 , 91.50 , 95.73 , 100.43 , 113.47 , 118.91 , 147.45 , 145.41 , 102.03 , 243.02 , 268.91 , 313.27 , 168.91 
Tax, 18.66 , 29.74 , 33.68 , 34.73 , 35.52 , 41.76 , 52.84 , 52.03 , 21.97 , 62.12 , 60.19 ,22%,22%
Net profit, 41.52 , 61.76 , 62.06 , 65.71 , 77.95 , 77.15 , 94.61 , 93.37 , 80.07 , 180.90 , 208.73 , 243.15 , 131.10 
EPS, 5.22 , 7.77 , 7.81 , 8.27 , 9.81 , 9.70 , 11.90 , 11.74 , 10.07 , 22.75 , 26.25 , 30.58 , 16.49 
Price to earning, 26.81 , 21.24 , 28.08 , 25.84 , 27.89 , 33.67 , 31.29 , 29.23 , 11.48 , 13.50 , 17.10 , 17.83 , 17.10 
Price, 140.00 , 165.00 , 219.20 , 213.60 , 273.45 , 326.70 , 372.35 , 343.25 , 115.65 , 307.30 , 448.75 , 545.10 , 281.86 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,28.76%,25.78%,32.07%,33.31%,28.08%,28.37%,25.24%,25.58%,29.82%,22.00%,,,
OPM,12.41%,14.49%,13.92%,13.82%,12.98%,13.01%,15.24%,15.34%,13.24%,20.44%,20.09%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,6.78%,5.04%,4.48%,4.99%,33.97%,33.97%,4.48%
,,,,,,OPM,14.73%,15.07%,15.67%,16.68%,20.09%,20.09%,14.73%
,,,,,,Price to Earning, 24.19 , 23.75 , 22.71 , 17.83 , 17.10 , 17.83 , 17.10 
