Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales, 92.73 , 97.06 , 101.27 , 79.29 , 62.03 , 55.84 , 76.61 , 93.33 , 89.60 , 48.82 , 69.01 , 69.01 , 39.20 
Expenses, 33.86 , 37.45 , 19.72 , 22.31 , 24.22 , 20.71 , 29.70 , 29.16 , 34.17 , 37.26 , 66.07 , 29.95 , 37.53 
Operating Profit, 58.87 , 59.61 , 81.55 , 56.98 , 37.81 , 35.13 , 46.91 , 64.17 , 55.43 , 11.56 , 2.94 , 39.06 , 1.67 
Other Income, 10.82 , 12.49 , 13.04 , 11.75 , 9.80 , 8.03 , 7.65 , 10.69 , -0.74 , 9.51 , 7.80 , -   , -   
Depreciation, 1.33 , 1.26 , 26.39 , 24.33 , 25.94 , 28.27 , 20.92 , 20.80 , 22.22 , 22.14 , 2.31 , 2.31 , 2.31 
Interest, 4.37 , 0.92 , 0.08 , 0.14 , 1.69 , 0.06 , 0.12 , 0.23 , 0.21 , 0.15 , 0.10 , 0.10 , 0.10 
Profit before tax, 63.99 , 69.92 , 68.12 , 44.26 , 19.98 , 14.83 , 33.52 , 53.83 , 32.26 , -1.22 , 8.33 , 36.65 , -0.74 
Tax, 20.11 , 24.75 , 23.56 , 15.96 , 7.08 , 6.00 , 11.46 , 2.32 , 9.83 , -7.46 , 0.32 ,4%,4%
Net profit, 43.88 , 45.17 , 44.55 , 28.30 , 12.90 , 8.83 , 22.06 , 51.51 , 22.44 , 6.24 , 8.01 , 35.24 , -0.71 
EPS, 25.81 , 26.89 , 27.16 , 17.26 , 7.87 , 5.38 , 13.45 , 31.41 , 14.76 , 4.11 , 5.24 , 23.06 , -0.47 
Price to earning, 10.83 , 9.41 , 19.26 , 13.17 , 21.57 , 32.49 , 14.13 , 5.79 , 4.54 , 32.71 , 37.27 , 37.27 , 18.29 
Price, 279.50 , 253.00 , 523.30 , 227.25 , 169.65 , 174.95 , 190.00 , 181.75 , 67.05 , 134.30 , 195.35 , 859.41 , -8.52 
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,11.62%,18.64%,18.41%,28.98%,63.57%,92.87%,37.17%,15.38%,33.87%,121.79%,,,
OPM,63.49%,61.42%,80.53%,71.86%,60.95%,62.91%,61.23%,68.76%,61.86%,23.68%,4.26%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,-6.88%,-9.90%,-4.68%,-13.95%,41.36%,41.36%,-13.95%
,,,,,,OPM,63.78%,60.93%,58.54%,56.60%,4.26%,56.60%,4.26%
,,,,,,Price to Earning, 18.29 , 20.21 , 21.16 , 20.08 , 37.27 , 37.27 , 18.29 
