Narration,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Trailing,Best Case,Worst Case
Sales,751.42,898.33,821.16,874.54,926.84,1041.89,1155.45,1139.87,862.99,1736.54,2241.64,3494.33,1955.2
Expenses,686.58,811.52,746.62,783.04,826.95,912.06,1010,994.54,767.1,1607.3,2025.68,3148.15,1766.84
Operating Profit,64.84,86.81,74.54,91.5,99.89,129.83,145.45,145.33,95.89,129.24,215.96,346.18,188.36
Other Income,5.82,3.42,9.35,9.8,10.47,4.7,17.21,21.98,23.73,21.45,27.5, -   , -   
Depreciation,31.26,35.76,45.55,52,47.79,49.79,43.78,40.97,40.21,43.98,42.47,42.47,42.47
Interest,9.33,10.93,16.25,14.86,12.13,7.6,2.13,0.05,0.93,1.43,1.57,1.57,1.57
Profit before tax,30.07,43.54,22.09,34.44,50.44,77.14,116.75,126.29,78.48,105.28,199.42,302.14,144.32
Tax,2.46,17.59,7.08,-1.69,16.22,20.38,38.14,38.44,20.72,26.69,51.18,26%,26%
Net profit,27.61,25.95,15.01,36.13,34.22,56.75,78.61,87.86,57.75,78.59,148.23,224.6,107.28
EPS,9.3,8.74,5.05,12.16,11.52,19.11,26.47,29.58,19.44,26.46,49.75,75.39,36.01
Price to earning,  ,  ,10.5,14.68,13.16,21.02,14.07,9.82,5.75,14.84,15.89,15.89,11.58
Price, -   , -   ,53.05,178.62,151.62,401.64,372.38,290.58,111.86,392.81,790.35,1197.54,416.86
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,21.55%,22.93%,39.64%,16.47%,21.74%,13.11%,9.46%,0.00%,0.00%,1.98%,,,
OPM,8.63%,9.66%,9.08%,10.46%,10.78%,12.46%,12.59%,12.75%,11.11%,7.44%,9.63%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,9.75%,11.29%,13.38%,14.55%,101.22%,101.22%,9.75%
,,,,,,OPM,10.42%,10.82%,10.88%,9.91%,9.63%,9.91%,9.63%
,,,,,,Price to Earning,13.3,13.65,13.57,11.58,15.89,15.89,11.58
